towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Dixmoor,2013,NA,NA,NA,1,0,1,1,1,0,Dixmoor
Dolton,2013,NA,NA,NA,11,0,10,11,10,0,Dolton
Downers Grove,2013,5,0,5,11,1,10,16,15,1,Downers Grove
East Dundee,2013,1,0,1,NA,NA,NA,1,1,0,East Dundee
Elburn,2013,1,0,1,2,1,1,3,2,1,Elburn
Elgin,2013,22,0,21,29,0,28,51,49,0,Elgin
Elk Grove,2013,4,0,4,9,0,9,13,13,0,Elk Grove Village
Elmhurst,2013,10,0,9,16,1,15,26,24,1,Elmhurst
Elmwood Park,2013,8,0,8,14,0,14,22,22,0,Elmwood Park
Evanston,2013,62,0,60,54,0,54,116,114,0,Evanston
Evergreen Park,2013,9,0,8,9,0,9,18,17,0,Evergreen Park
Flossmoor,2013,1,0,1,NA,NA,NA,1,1,0,Flossmoor
Ford Heights,2013,NA,NA,NA,4,0,4,4,4,0,Ford Heights
Forest Park,2013,7,0,7,10,1,9,17,16,1,Forest Park
Forestview,2013,NA,NA,NA,1,0,1,1,1,0,Forest View
Fox Lake,2013,1,0,1,1,0,1,2,2,0,Fox Lake
Fox River Grove,2013,1,0,1,NA,NA,NA,1,1,0,Fox River Grove
Frankfort,2013,3,0,3,1,0,1,4,4,0,Frankfort
Franklin Park,2013,4,0,3,9,0,9,13,12,0,Franklin Park
Geneva,2013,5,0,4,3,0,3,8,7,0,Geneva
Glen Ellyn,2013,5,0,5,10,0,10,15,15,0,Glen Ellyn
Glencoe,2013,1,0,1,2,0,2,3,3,0,Glencoe
Glendale Hts,2013,6,0,6,5,0,5,11,11,0,Glendale Heights
Glenview,2013,20,0,20,7,0,7,27,27,0,Glenview
Grayslake,2013,4,0,4,6,0,6,10,10,0,Grayslake
Gurnee,2013,3,0,3,8,2,6,11,9,2,Gurnee
Hampshire,2013,NA,NA,NA,1,0,1,1,1,0,Hampshire
Hanover Park,2013,9,0,9,10,0,9,19,18,0,Hanover Park
Harvard,2013,NA,NA,NA,2,0,2,2,2,0,Harvard
Harvey,2013,4,0,4,28,3,24,32,28,3,Harvey
Harwood Hts,2013,3,0,3,2,0,2,5,5,0,Harwood Heights
Hawthorn Woods,2013,1,0,1,NA,NA,NA,1,1,0,Hawthorn Woods
Hazelcrest,2013,1,0,0,6,0,6,7,6,0,Hazel Crest
Hickory Hills,2013,3,0,3,1,1,0,4,3,1,Hickory Hills
Highland Park,2013,10,0,10,12,0,12,22,22,0,Highland Park
Highwood,2013,1,0,1,1,0,1,2,2,0,Highwood
Hillside,2013,2,0,2,2,0,2,4,4,0,Hillside
Hinsdale,2013,4,0,4,4,0,4,8,8,0,Hinsdale
Hodgkins,2013,NA,NA,NA,1,0,1,1,1,0,Hodgkins
Hoffman Estates,2013,11,0,10,1,0,1,12,11,0,Hoffman Estates
Homer Glen,2013,1,0,1,NA,NA,NA,1,1,0,Homer Glen
Hometown,2013,1,0,1,4,0,3,5,4,0,Hometown
Homewood,2013,5,0,5,3,0,3,8,8,0,Homewood
Huntley,2013,2,0,2,NA,NA,NA,2,2,0,Huntley
Inverness,2013,1,0,1,NA,NA,NA,1,1,0,Inverness
Island Lake,2013,NA,NA,NA,2,0,2,2,2,0,Island Lake
Itasca,2013,3,0,3,1,0,1,4,4,0,Itasca
Johnsburg,2013,1,0,1,NA,NA,NA,1,1,0,Johnsburg
Joliet,2013,41,0,41,32,0,31,73,72,0,Joliet
Justice,2013,1,0,1,2,0,2,3,3,0,Justice
Kenilworth,2013,2,0,2,1,0,1,3,3,0,Kenilworth
LaGrange,2013,4,0,4,6,0,6,10,10,0,La Grange
LaGrange Park,2013,3,0,3,1,0,1,4,4,0,La Grange Park
Lake Barrington,2013,NA,NA,NA,1,0,1,1,1,0,Lake Barrington
Lake Bluff,2013,1,0,1,1,0,1,2,2,0,Lake Bluff
Lake Forest,2013,5,0,4,3,0,3,8,7,0,Lake Forest
Lake In The Hills,2013,2,0,2,1,0,1,3,3,0,Lake in the Hills
Lake Villa,2013,NA,NA,NA,1,0,1,1,1,0,Lake Villa
Lake Zurich,2013,1,0,1,5,0,5,6,6,0,Lake Zurich
Lakemoor,2013,1,0,0,2,0,2,3,2,0,Lakemoor
Lakewood,2013,1,0,1,NA,NA,NA,1,1,0,Lakewood
Lansing,2013,4,0,4,3,0,3,7,7,0,Lansing
Lemont,2013,2,0,1,3,0,3,5,4,0,Lemont
Libertyville,2013,8,0,8,2,0,2,10,10,0,Libertyville
Lincolnwood,2013,10,0,9,6,0,6,16,15,0,Lincolnwood
Lisle,2013,4,0,3,1,0,0,5,3,0,Lisle
Lockport,2013,NA,NA,NA,5,1,4,5,4,1,Lockport
Lombard,2013,15,0,15,12,1,11,27,26,1,Lombard
Long Grove,2013,1,0,1,1,0,1,2,2,0,Long Grove
Lynnwood,2013,2,0,2,3,0,3,5,5,0,Lynwood
Lyons,2013,4,0,3,5,0,5,9,8,0,Lyons
Marengo,2013,NA,NA,NA,2,0,2,2,2,0,Marengo
Markham,2013,4,0,4,5,0,5,9,9,0,Markham
Matteson,2013,1,0,1,6,1,4,7,5,1,Matteson
Maywood,2013,7,0,6,14,0,14,21,20,0,Maywood
Mccook,2013,NA,NA,NA,1,0,1,1,1,0,McCook
McHenry,2013,4,0,4,9,0,9,13,13,0,McHenry
Melrose Park,2013,11,0,11,14,0,14,25,25,0,Melrose Park
Merrionette Park,2013,NA,NA,NA,1,0,1,1,1,0,Merrionette Park
Midlothian,2013,1,0,1,7,0,7,8,8,0,Midlothian
Mokena,2013,1,0,1,2,0,2,3,3,0,Mokena
Monee,2013,1,0,1,NA,NA,NA,1,1,0,Monee
Montgomery,2013,2,0,2,2,1,1,4,3,1,Montgomery
Morton Grove,2013,5,0,5,8,2,6,13,11,2,Morton Grove
Mt Prospect,2013,5,0,5,12,0,12,17,17,0,Mount Prospect
Mundelein,2013,7,0,7,5,1,4,12,11,1,Mundelein
Naperville,2013,31,1,30,28,0,26,59,56,1,Naperville
New Lenox,2013,NA,NA,NA,4,0,4,4,4,0,New Lenox
Niles,2013,15,0,15,18,0,18,33,33,0,Niles
No Aurora,2013,1,0,1,1,0,1,2,2,0,North Aurora
Norridge,2013,9,0,8,15,0,14,24,22,0,Norridge
North Chicago,2013,4,0,4,6,0,6,10,10,0,North Chicago
North Lake,2013,3,0,3,3,0,3,6,6,0,Northlake
North Riverside,2013,3,1,2,3,0,2,6,4,1,North Riverside
Northbrook,2013,8,0,8,5,0,5,13,13,0,Northbrook
Northfield,2013,3,0,3,2,0,2,5,5,0,Northfield
Oak Brook,2013,1,0,1,3,0,3,4,4,0,Oak Brook
Oak Forest,2013,3,0,3,4,0,4,7,7,0,Oak Forest
Oak Lawn,2013,7,0,6,20,1,19,27,25,1,Oak Lawn
Oak Park,2013,28,1,25,36,0,34,64,59,1,Oak Park
Oakbrook Terrace,2013,3,0,3,1,0,1,4,4,0,Oakbrook Terrace
Old Mill Creek,2013,1,0,1,NA,NA,NA,1,1,0,Old Mill Creek
Olympia Fields,2013,1,0,1,2,0,2,3,3,0,Olympia Fields
Orland Hills,2013,NA,NA,NA,1,0,1,1,1,0,Orland Hills
Orland Park,2013,7,0,6,10,1,8,17,14,1,Orland Park
Palatine,2013,5,0,5,11,0,8,16,13,0,Palatine
Palos Hills,2013,4,0,4,3,0,3,7,7,0,Palos Hills
Palos Hts,2013,1,1,0,NA,NA,NA,1,0,1,Palos Heights
Park City,2013,NA,NA,NA,3,0,3,3,3,0,Park City
Park Forest,2013,2,0,2,1,0,0,3,2,0,Park Forest
Park Ridge,2013,19,0,19,7,1,6,26,25,1,Park Ridge
Phoenix,2013,NA,NA,NA,2,0,2,2,2,0,Phoenix
Plainfield,2013,4,0,4,3,0,3,7,7,0,Plainfield
Prospect Hts,2013,3,0,3,2,0,2,5,5,0,Prospect Heights
Richton Park,2013,3,0,2,NA,NA,NA,3,2,0,Richton Park
River Forest,2013,6,0,6,10,0,10,16,16,0,River Forest
River Grove,2013,7,0,7,5,0,4,12,11,0,River Grove
Riverdale,2013,NA,NA,NA,8,1,7,8,7,1,Riverdale
Riverside,2013,7,0,7,2,0,2,9,9,0,Riverside
Riverwoods,2013,NA,NA,NA,1,0,1,1,1,0,Riverwoods
Robbins,2013,6,0,6,4,0,4,10,10,0,Robbins
Rolling Meadows,2013,8,0,8,1,0,1,9,9,0,Rolling Meadows
Romeoville,2013,6,0,6,3,1,2,9,8,1,Romeoville
Roselle,2013,4,0,4,3,0,3,7,7,0,Roselle
Rosemont,2013,3,0,3,4,1,2,7,5,1,Rosemont
Round Lake,2013,3,0,3,NA,NA,NA,3,3,0,Round Lake
Round Lake Bch,2013,7,0,7,5,0,4,12,11,0,Round Lake Beach
Round Lake Park,2013,NA,NA,NA,2,0,2,2,2,0,Round Lake Park
Sauk Village,2013,1,0,1,2,0,2,3,3,0,Sauk Village
Schaumburg,2013,16,0,16,6,0,6,22,22,0,Schaumburg
Schiller Park,2013,6,0,6,5,0,5,11,11,0,Schiller Park
Shorewood,2013,1,0,1,1,0,1,2,2,0,Shorewood
Skokie,2013,43,0,42,28,3,24,71,66,3,Skokie
So Elgin,2013,4,0,3,1,0,1,5,4,0,South Elgin
South Chicago Hts,2013,2,0,1,1,0,1,3,2,0,South Chicago Heights
South Holland,2013,1,0,1,8,0,6,9,7,0,South Holland
Spring Grove,2013,NA,NA,NA,1,0,1,1,1,0,Spring Grove
St Charles,2013,13,0,12,4,0,4,17,16,0,St. Charles
Steger,2013,3,1,2,3,0,3,6,5,1,Steger
Stickney,2013,2,0,2,3,1,2,5,4,1,Stickney
Stone Park,2013,NA,NA,NA,3,0,3,3,3,0,Stone Park
Streamwood,2013,11,0,11,2,0,2,13,13,0,Streamwood
Summit,2013,3,0,3,7,1,6,10,9,1,Summit
Third Lake,2013,1,0,1,NA,NA,NA,1,1,0,Third Lake
Thornton,2013,NA,NA,NA,1,0,1,1,1,0,Thornton
Tinley Park,2013,12,0,12,9,0,9,21,21,0,Tinley Park
University Park,2013,NA,NA,NA,2,0,1,2,1,0,University Park
Vernon Hills,2013,6,0,5,3,0,3,9,8,0,Vernon Hills
Villa Park,2013,7,0,7,3,0,3,10,10,0,Villa Park
Wadsworth,2013,1,0,1,1,0,1,2,2,0,Wadsworth
Warrenville,2013,2,1,1,1,0,1,3,2,1,Warrenville
Wauconda,2013,2,0,2,1,0,1,3,3,0,Wauconda
Waukegan,2013,26,0,24,22,2,20,48,44,2,Waukegan
West Chicago,2013,4,0,4,3,0,3,7,7,0,West Chicago
West Dundee,2013,2,0,2,1,0,1,3,3,0,West Dundee
Westchester,2013,3,0,2,4,0,4,7,6,0,Westchester
Western Springs,2013,2,0,1,1,0,1,3,2,0,Western Springs
Westmont,2013,6,0,6,8,0,8,14,14,0,Westmont
Wheaton,2013,15,0,14,10,0,9,25,23,0,Wheaton
Wheeling,2013,13,0,13,10,1,9,23,22,1,Wheeling
Willow Springs,2013,1,0,1,NA,NA,NA,1,1,0,Willow Springs
Willowbrook,2013,2,0,2,4,0,4,6,6,0,Willowbrook
Willowbrook,2013,2,0,2,4,0,4,6,6,0,Willowbrook
Wilmette,2013,19,0,19,6,0,5,25,24,0,Wilmette
Wilmington,2013,2,0,1,1,0,1,3,2,0,Wilmington
Wilmington,2013,2,0,1,1,0,1,3,2,0,Wilmington
Winfield,2013,3,0,3,NA,NA,NA,3,3,0,Winfield
Winnetka,2013,5,0,5,4,0,4,9,9,0,Winnetka
Winthrop Harbor,2013,1,0,1,1,0,1,2,2,0,Winthrop Harbor
Wonder Lake,2013,1,0,1,NA,NA,NA,1,1,0,Wonder Lake
Wood Dale,2013,2,0,2,3,0,3,5,5,0,Wood Dale
Woodridge,2013,7,0,6,3,0,3,10,9,0,Woodridge
Woodstock,2013,3,0,3,2,0,2,5,5,0,Woodstock
Worth,2013,3,0,3,7,0,7,10,10,0,Worth
Zion,2013,8,0,6,14,0,14,22,20,0,Zion
