town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Franklin Park ,2015,7,1,5,6,0,6,13,11,1
Geneva ,2015,2,0,2,7,0,7,9,9,0
Glen Ellyn ,2015,8,0,8,9,0,9,17,17,0
Glencoe ,2015,3,0,3,4,0,3,7,6,0
Glendale Hts ,2015,6,0,6,8,0,8,14,14,0
Glenview ,2015,17,0,17,6,0,6,23,23,0
Glenwood ,2015,1,0,1,2,0,2,3,3,0
Golf,2015,,,,1,0,1,1,1,0
Grayslake ,2015,4,0,4,2,0,2,6,6,0
Green Oaks ,2015,1,0,1,,,,1,1,0
Gurnee ,2015,5,0,5,9,0,8,14,13,0
Hainesville ,2015,1,0,1,1,0,1,2,2,0
Hanover Park ,2015,7,1,6,7,0,7,14,13,1
Harvard ,2015,2,0,2,,,,2,2,0
Harvey ,2015,8,0,8,23,1,21,31,29,1
Harwood Hts ,2015,5,0,5,3,0,3,8,8,0
Hawthorn Woods ,2015,1,0,1,,,,1,1,0
Hazelcrest ,2015,1,0,1,2,0,2,3,3,0
Hickory Hills ,2015,1,0,1,5,0,5,6,6,0
Highland Park ,2015,5,0,5,7,0,7,12,12,0
Highwood ,2015,2,0,2,1,0,1,3,3,0
Hillside ,2015,1,0,1,1,1,0,2,1,1
Hinsdale ,2015,1,0,1,7,0,7,8,8,0
Hodgkins ,2015,2,0,2,1,0,1,3,3,0
Hoffman Estates ,2015,9,0,9,9,1,8,18,17,1
Homer Glen ,2015,1,0,1,1,0,1,2,2,0
Hometown ,2015,1,0,1,1,0,1,2,2,0
Homewood ,2015,1,0,1,5,1,4,6,5,1
Huntley ,2015,3,0,3,1,0,1,4,4,0
Indian Head Park ,2015,1,0,1,1,0,1,2,2,0
Inverness ,2015,1,0,1,,,,1,1,0
Island Lake ,2015,,,,3,1,2,3,2,1
Itasca ,2015,3,0,3,3,0,3,6,6,0
Johnsburg ,2015,,,,1,0,1,1,1,0
Joliet ,2015,28,1,27,39,1,37,67,64,2
Justice ,2015,2,0,2,2,1,1,4,3,1
Kenilworth ,2015,3,0,3,,,,3,3,0
Kildeer ,2015,1,0,1,,,,1,1,0
LaGrange ,2015,9,0,9,6,0,6,15,15,0
LaGrange Park ,2015,3,0,3,4,0,4,7,7,0
Lake Bluff ,2015,2,0,2,,,,2,2,0
Lake Forest ,2015,4,0,4,5,0,3,9,7,0
Lake In The Hills ,2015,2,0,2,4,0,4,6,6,0
Lake Villa ,2015,1,0,1,,,,1,1,0
Lake Zurich ,2015,4,0,4,1,0,1,5,5,0
Lansing ,2015,3,0,3,5,1,4,8,7,1
Lemont ,2015,,,,2,0,1,2,1,0
Libertyville ,2015,3,0,3,2,0,2,5,5,0
Lincolnshire ,2015,2,0,2,,,,2,2,0
Lincolnwood ,2015,13,0,13,13,0,13,26,26,0
Lisle ,2015,4,0,4,6,0,6,10,10,0
Lockport ,2015,1,0,1,2,0,2,3,3,0
Lombard ,2015,7,0,7,3,0,3,10,10,0
Long Grove ,2015,,,,1,0,1,1,1,0
Lynnwood ,2015,,,,1,0,1,1,1,0
Lyons ,2015,6,0,6,6,0,6,12,12,0
Manhattan ,2015,,,,1,0,1,1,1,0
Marengo ,2015,2,0,2,1,0,1,3,3,0
Markham ,2015,3,0,3,5,0,5,8,8,0
Matteson ,2015,2,0,2,3,0,3,5,5,0
Maywood ,2015,11,0,10,13,0,12,24,22,0
Mccook ,2015,,,,1,0,1,1,1,0
McCullom Lake ,2015,1,0,1,,,,1,1,0
McHenry ,2015,3,0,3,3,1,2,6,5,1
Melrose Park ,2015,8,0,8,12,0,11,20,19,0
Merrionette Park ,2015,1,0,1,1,0,1,2,2,0
Midlothian ,2015,2,0,2,7,2,5,9,7,2
Mokena ,2015,5,0,5,1,0,1,6,6,0
Monee ,2015,1,0,1,,,,1,1,0
Montgomery ,2015,,,,1,1,0,1,0,1
Morton Grove ,2015,10,0,10,3,1,1,13,11,1
Mt Prospect ,2015,16,0,16,12,1,9,28,25,1
Mundelein ,2015,1,0,1,2,0,2,3,3,0
N Barrington ,2015,,,,1,0,1,1,1,0
Naperville ,2015,23,0,23,25,0,23,48,46,0
New Lenox ,2015,1,0,1,5,1,4,6,5,1
Niles ,2015,9,0,8,22,2,18,31,26,2
No Aurora ,2015,1,0,1,,,,1,1,0
Norridge ,2015,10,0,7,9,0,7,19,14,0
North Chicago ,2015,1,0,1,2,0,2,3,3,0
North Lake ,2015,2,0,2,3,1,2,5,4,1
North Riverside ,2015,8,0,8,4,1,3,12,11,1
Northbrook ,2015,7,0,7,3,0,3,10,10,0
Oak Brook ,2015,1,0,1,2,0,2,3,3,0
Oak Forest ,2015,,,,1,0,1,1,1,0
Oak Lawn ,2015,11,0,11,11,1,10,22,21,1
Oak Park ,2015,22,0,22,43,0,41,65,63,0
Oakbrook Terrace ,2015,2,1,1,2,0,2,4,3,1
Olympia Fields ,2015,1,1,0,,,,1,0,1
Orland Hills ,2015,1,0,1,,,,1,1,0
Orland Park ,2015,4,0,3,7,0,5,11,8,0
Palatine ,2015,9,0,8,12,1,11,21,19,1
Palos Hills ,2015,4,0,4,6,0,6,10,10,0
Palos Hts ,2015,3,0,3,4,0,4,7,7,0
Palos Park ,2015,,,,1,0,1,1,1,0
Park City ,2015,,,,2,0,1,2,1,0
Park Forest ,2015,2,0,2,1,1,0,3,2,1
Park Ridge ,2015,10,0,10,17,0,17,27,27,0
Pingree Grove ,2015,,,,1,0,0,1,0,0
Plainfield ,2015,3,0,3,5,1,4,8,7,1
Posen ,2015,2,0,2,1,0,1,3,3,0
Prairie Grove ,2015,2,0,2,,,,2,2,0
Prospect Hts ,2015,2,0,2,2,0,2,4,4,0
Richmond ,2015,,,,1,0,1,1,1,0
Richton Park ,2015,1,0,1,4,0,3,5,4,0
River Forest ,2015,3,0,3,5,1,4,8,7,1
River Grove ,2015,10,0,10,7,0,7,17,17,0
Riverdale ,2015,,,,7,0,7,7,7,0
Riverside ,2015,3,0,3,2,0,2,5,5,0
Robbins ,2015,1,0,0,2,0,1,3,1,0
Rockdale ,2015,,,,1,0,1,1,1,0
Rolling Meadows ,2015,5,1,4,4,0,4,9,8,1
Romeoville ,2015,4,0,4,4,0,4,8,8,0
Roselle ,2015,2,0,2,5,0,5,7,7,0
Rosemont ,2015,,,,5,0,4,5,4,0
Round Lake ,2015,1,0,1,3,0,3,4,4,0
Round Lake Bch ,2015,3,0,3,7,0,7,10,10,0
Round Lake Park ,2015,1,0,1,3,0,3,4,4,0
Sauk Village ,2015,4,1,3,,,,4,3,1
Schaumburg ,2015,16,0,16,11,0,11,27,27,0
Schiller Park ,2015,2,0,2,8,1,6,10,8,1
Shorewood ,2015,2,0,2,3,0,3,5,5,0
Skokie ,2015,33,1,32,29,0,29,62,61,1
Sleepy Hollow ,2015,1,0,1,2,0,2,3,3,0
So Elgin ,2015,5,0,5,2,0,2,7,7,0
South Holland ,2015,2,0,2,10,0,8,12,10,0
St Charles ,2015,8,0,8,5,0,5,13,13,0
Steger ,2015,1,0,1,,,,1,1,0
Stickney ,2015,5,0,4,5,0,4,10,8,0
Stone Park ,2015,1,0,1,7,0,7,8,8,0
Streamwood ,2015,4,0,4,11,1,10,15,14,1
Sugar Grove ,2015,1,0,1,1,0,1,2,2,0
Summit ,2015,2,0,2,3,1,2,5,4,1
Thornton ,2015,1,0,1,1,0,1,2,2,0
Tinley Park ,2015,6,0,6,8,1,7,14,13,1
University Park ,2015,,,,2,0,2,2,2,0
Vernon Hills ,2015,3,0,3,3,0,2,6,5,0
Villa Park ,2015,3,0,3,4,0,4,7,7,0
Warrenville ,2015,5,0,5,4,1,3,9,8,1
Wauconda ,2015,1,0,1,,,,1,1,0
Waukegan ,2015,16,1,15,28,0,28,44,43,1
West Chicago ,2015,,,,4,0,4,4,4,0
West Dundee ,2015,1,0,1,1,0,1,2,2,0
Westchester ,2015,,,,5,0,5,5,5,0
Western Springs ,2015,2,0,2,3,0,3,5,5,0
Westmont ,2015,3,0,2,,,,3,2,0
Wheaton ,2015,8,0,8,14,2,12,22,20,2
Wheeling ,2015,9,0,9,5,0,5,14,14,0
Willow Springs ,2015,1,0,1,1,0,1,2,2,0
Wilmette ,2015,13,0,13,7,0,6,20,19,0
Winfield ,2015,2,0,2,1,0,1,3,3,0
Winnetka ,2015,5,0,5,4,0,4,9,9,0
Winthrop Harbor ,2015,1,0,1,,,,1,1,0
Wonder Lake ,2015,,,,1,0,1,1,1,0
Wood Dale ,2015,3,0,3,5,0,5,8,8,0
Woodridge ,2015,6,0,6,2,0,2,8,8,0
Woodstock ,2015,1,0,1,4,0,4,5,5,0
Worth ,2015,2,0,2,4,0,4,6,6,0
Zion ,2015,5,0,5,7,0,7,12,12,0
