town,year,total2012
Loraine,2012,284
Lostant,2012,383
Lost Nation,2012,730
Louisville,2012,1177
Loves Park,2012,23968
Lovington,2012,1163
Ludlow,2012,369
Lyndon,2012,657
Lynnville,2012,116
Lynwood,2012,9042
Lyons,2012,10651
McClure,2012,416
McCook,2012,304
McCullom Lake,2012,1054
Macedonia,2012,31
McHenry,2012,26862
Machesney Park,2012,23231
Mackinaw,2012,2223
McLean,2012,819
McLeansboro,2012,2598
McNabb,2012,347
Macomb,2012,19260
Macon,2012,1221
Madison,2012,4248
Maeystown,2012,177
Magnolia,2012,289
Mahomet,2012,7230
Makanda,2012,495
Malden,2012,467
Malta,2012,1004
Manchester,2012,454
Manhattan,2012,6456
Manito,2012,1934
Manlius,2012,318
Mansfield,2012,1059
Manteno,2012,9253
Maple Park,2012,1240
Mapleton,2012,285
Maquon,2012,383
Marengo,2012,7675
Marietta,2012,203
Marine,2012,1166
Marion,2012,17198
Marissa,2012,2362
Mark,2012,607
Markham,2012,12514
Maroa,2012,1960
Marquette Heights,2012,2836
Marseilles,2012,5022
Marshall,2012,3983
Martinsville,2012,1105
Martinton,2012,310
Maryville,2012,7480
Mascoutah,2012,7578
Mason,2012,361
Mason City,2012,2313
Matherville,2012,823
Matteson,2012,18692
Mattoon,2012,18162
Maunie,2012,144
Maywood,2012,24177
Mazon,2012,1011
Mechanicsburg,2012,587
Media,2012,110
Medora,2012,369
Melrose Park,2012,25241
Melvin,2012,599
Mendon,2012,871
Mendota,2012,7138
Menominee,2012,200
Meredosia,2012,1008
Merrionette Park,2012,2088
Metamora,2012,3396
Metcalf,2012,196
Metropolis,2012,6537
Mettawa,2012,502
Middletown,2012,284
Midlothian,2012,14788
Milan,2012,5089
Milford,2012,1164
Millbrook,2012,271
Mill Creek,2012,80
Milledgeville,2012,1191
Millington,2012,768
Mill Shoals,2012,217
Millstadt,2012,3946
Milton,2012,425
Mineral,2012,296
Minier,2012,1098
Minonk,2012,2229
Minooka,2012,10548
Mitchell,2012,1321
Modesto,2012,264
Mokena,2012,18424
Moline,2012,43390
Momence,2012,3459
Monee,2012,5099
Monmouth,2012,9659
Monroe Center,2012,469
Montgomery,2012,18123
Monticello,2012,5297
Montrose,2012,209
Morris,2012,13896
