long,lat,order,hole,piece,id,group,STATEFP10,PLACEFP10,PLACENS10,NAME10,PLACE,NAME,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,popAvg
-87.970738,41.927538,55,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.973311,41.927138,56,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.969916,41.925687,57,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.971082,41.925099,58,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.975979,41.92813,59,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.97853,41.927783,60,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.978644,41.926373,61,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.97338,41.922078,62,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.975729,41.920608,63,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.977553,41.921361,64,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.976411,41.91985,65,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.978364,41.919403,66,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.969399,41.919518,67,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.96929,41.922063,68,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.966582,41.922367,69,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.965923,41.911799,70,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.967665,41.911729,71,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.966999,41.914274,72,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.969472,41.915212,73,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.96951,41.918538,74,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.973456,41.918454,75,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.971432,41.912931,76,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.97384,41.912877,77,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.973592,41.906867,78,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
-87.977272,41.907492,79,FALSE,1,1700243,1700243.1,17,243,2397911,Addison,243,Addison village,30,0,29,18,0,18,48,47,0,37147
