towns,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,town
Godley,2012,NA,NA,NA,1,0,1,1,1,0,Godley
Grayslake,2012,4,0,3,4,0,4,8,7,0,Grayslake
Green Oaks,2012,2,0,2,NA,NA,NA,2,2,0,Green Oaks
Gurnee,2012,6,0,6,4,0,4,10,10,0,Gurnee
Hainesville,2012,1,0,1,2,0,2,3,3,0,Hainesville
Hanover Park,2012,8,0,7,3,0,3,11,10,0,Hanover Park
Harvard,2012,2,0,2,2,0,2,4,4,0,Harvard
Harvey,2012,12,1,11,24,1,22,36,33,2,Harvey
Harwood Hts,2012,2,0,2,1,0,1,3,3,0,Harwood Heights
Hawthorn Woods,2012,1,0,1,NA,NA,NA,1,1,0,Hawthorn Woods
Hazelcrest,2012,3,0,3,8,0,8,11,11,0,Hazel Crest
Hickory Hills,2012,2,0,2,4,0,4,6,6,0,Hickory Hills
Highland Park,2012,10,0,10,8,1,7,18,17,1,Highland Park
Highwood,2012,3,0,3,1,0,1,4,4,0,Highwood
Hillside,2012,3,0,3,3,0,3,6,6,0,Hillside
Hinsdale,2012,2,0,2,4,0,4,6,6,0,Hinsdale
Hoffman Estates,2012,10,0,10,1,0,1,11,11,0,Hoffman Estates
Homer Glen,2012,1,0,1,1,0,1,2,2,0,Homer Glen
Hometown,2012,NA,NA,NA,1,0,1,1,1,0,Hometown
Homewood,2012,4,0,4,4,0,4,8,8,0,Homewood
Huntley,2012,2,0,1,2,0,2,4,3,0,Huntley
Indian Head Park,2012,1,0,1,NA,NA,NA,1,1,0,Indian Head Park
Inverness,2012,2,0,2,NA,NA,NA,2,2,0,Inverness
Island Lake,2012,1,0,1,1,0,1,2,2,0,Island Lake
Itasca,2012,3,0,3,2,0,2,5,5,0,Itasca
Johnsburg,2012,1,0,1,NA,NA,NA,1,1,0,Johnsburg
Joliet,2012,29,0,27,45,1,43,74,70,1,Joliet
Justice,2012,1,0,1,5,0,4,6,5,0,Justice
Kenilworth,2012,2,0,2,NA,NA,NA,2,2,0,Kenilworth
Kildeer,2012,1,0,1,NA,NA,NA,1,1,0,Kildeer
LaGrange,2012,10,0,10,5,0,5,15,15,0,La Grange
LaGrange Park,2012,2,0,2,2,0,2,4,4,0,La Grange Park
Lake Bluff,2012,1,0,1,1,0,1,2,2,0,Lake Bluff
Lake Forest,2012,5,0,3,3,0,3,8,6,0,Lake Forest
Lake In The Hills,2012,1,0,1,2,0,2,3,3,0,Lake in the Hills
Lake Villa,2012,NA,NA,NA,2,0,2,2,2,0,Lake Villa
Lake Zurich,2012,NA,NA,NA,1,0,1,1,1,0,Lake Zurich
Lansing,2012,3,0,3,7,0,7,10,10,0,Lansing
Lemont,2012,NA,NA,NA,2,0,2,2,2,0,Lemont
Libertyville,2012,4,0,4,6,0,6,10,10,0,Libertyville
Lincolnshire,2012,3,0,3,2,0,2,5,5,0,Lincolnshire
Lincolnwood,2012,8,0,7,8,1,7,16,14,1,Lincolnwood
Lindenhurst,2012,1,0,1,NA,NA,NA,1,1,0,Lindenhurst
Lisle,2012,4,0,4,5,0,5,9,9,0,Lisle
Lockport,2012,1,0,1,4,0,4,5,5,0,Lockport
Lombard,2012,11,0,10,2,0,2,13,12,0,Lombard
Long Grove,2012,3,0,3,1,0,1,4,4,0,Long Grove
Lynnwood,2012,1,0,1,3,0,3,4,4,0,Lynwood
Lyons,2012,2,0,2,5,0,5,7,7,0,Lyons
Marengo,2012,3,0,3,1,0,1,4,4,0,Marengo
Markham,2012,6,0,6,3,1,2,9,8,1,Markham
Matteson,2012,3,0,3,3,0,3,6,6,0,Matteson
Maywood,2012,8,0,8,11,0,11,19,19,0,Maywood
McHenry,2012,7,0,7,1,0,1,8,8,0,McHenry
Melrose Park,2012,8,0,8,8,0,8,16,16,0,Melrose Park
Merrionette Park,2012,1,0,1,2,1,1,3,2,1,Merrionette Park
Midlothian,2012,5,0,5,6,1,5,11,10,1,Midlothian
Mokena,2012,6,0,6,1,0,1,7,7,0,Mokena
Montgomery,2012,5,0,5,2,0,2,7,7,0,Montgomery
Morton Grove,2012,12,0,11,3,0,3,15,14,0,Morton Grove
Mt Prospect,2012,9,0,9,7,1,6,16,15,1,Mount Prospect
Mundelein,2012,8,0,6,2,0,2,10,8,0,Mundelein
Naperville,2012,36,0,35,16,0,15,52,50,0,Naperville
New Lenox,2012,2,0,1,2,0,2,4,3,0,New Lenox
Niles,2012,12,0,12,15,0,15,27,27,0,Niles
No Aurora,2012,2,0,2,1,0,1,3,3,0,North Aurora
Norridge,2012,8,0,8,10,0,10,18,18,0,Norridge
North Chicago,2012,7,0,7,8,0,7,15,14,0,North Chicago
North Lake,2012,3,0,3,2,0,2,5,5,0,Northlake
North Riverside,2012,3,0,3,8,0,8,11,11,0,North Riverside
Northbrook,2012,20,0,20,7,0,7,27,27,0,Northbrook
Northfield,2012,2,0,2,NA,NA,NA,2,2,0,Northfield
Oak Brook,2012,8,0,7,1,0,1,9,8,0,Oak Brook
Oak Forest,2012,1,0,1,3,0,3,4,4,0,Oak Forest
Oak Lawn,2012,8,0,6,15,1,14,23,20,1,Oak Lawn
Oak Park,2012,31,0,29,40,0,39,71,68,0,Oak Park
Oakbrook Terrace,2012,1,0,1,1,0,1,2,2,0,Oakbrook Terrace
Orland Park,2012,5,0,5,7,0,7,12,12,0,Orland Park
Palatine,2012,14,0,11,13,1,10,27,21,1,Palatine
Palos Hills,2012,2,0,2,2,0,2,4,4,0,Palos Hills
Palos Hts,2012,1,0,1,2,0,2,3,3,0,Palos Heights
Park City,2012,NA,NA,NA,2,0,2,2,2,0,Park City
Park Forest,2012,NA,NA,NA,2,0,2,2,2,0,Park Forest
Park Ridge,2012,13,0,12,10,1,9,23,21,1,Park Ridge
Peotone,2012,NA,NA,NA,2,0,2,2,2,0,Peotone
Plainfield,2012,1,0,1,3,0,3,4,4,0,Plainfield
Posen,2012,1,0,1,1,0,1,2,2,0,Posen
Prairie Grove,2012,1,0,0,NA,NA,NA,1,0,0,Prairie Grove
Prospect Hts,2012,NA,NA,NA,1,1,0,1,0,1,Prospect Heights
Richmond,2012,1,0,1,NA,NA,NA,1,1,0,Richmond
Richton Park,2012,NA,NA,NA,1,0,1,1,1,0,Richton Park
River Forest,2012,5,0,5,3,0,3,8,8,0,River Forest
River Grove,2012,7,0,3,9,0,9,16,12,0,River Grove
Riverdale,2012,2,0,2,5,1,4,7,6,1,Riverdale
Riverside,2012,4,0,4,2,0,1,6,5,0,Riverside
Riverwoods,2012,NA,NA,NA,1,0,1,1,1,0,Riverwoods
Robbins,2012,2,0,2,NA,NA,NA,2,2,0,Robbins
Rockdale,2012,1,1,0,NA,NA,NA,1,0,1,Rockdale
Rolling Meadows,2012,8,0,6,1,0,1,9,7,0,Rolling Meadows
Romeoville,2012,1,0,1,9,1,7,10,8,1,Romeoville
Roselle,2012,3,0,3,1,0,1,4,4,0,Roselle
Rosemont,2012,2,0,2,7,0,7,9,9,0,Rosemont
Round Lake,2012,1,0,1,4,0,4,5,5,0,Round Lake
Round Lake Bch,2012,5,1,4,3,0,3,8,7,1,Round Lake Beach
Round Lake Hts,2012,1,0,1,2,0,2,3,3,0,Round Lake Heights
Round Lake Park,2012,2,0,2,NA,NA,NA,2,2,0,Round Lake Park
Sauk Village,2012,NA,NA,NA,3,1,2,3,2,1,Sauk Village
Schaumburg,2012,17,0,16,10,2,8,27,24,2,Schaumburg
Schiller Park,2012,3,0,3,3,0,3,6,6,0,Schiller Park
Shorewood,2012,3,0,3,1,0,1,4,4,0,Shorewood
Skokie,2012,26,2,23,22,1,21,48,44,3,Skokie
So Elgin,2012,1,0,1,4,0,4,5,5,0,South Elgin
South Barrington,2012,NA,NA,NA,1,1,0,1,0,1,South Barrington
South Chicago Hts,2012,NA,NA,NA,2,0,2,2,2,0,South Chicago Heights
South Holland,2012,NA,NA,NA,4,1,3,4,3,1,South Holland
St Charles,2012,5,0,4,6,0,6,11,10,0,St. Charles
Steger,2012,3,0,3,3,0,3,6,6,0,Steger
Stickney,2012,5,0,4,8,0,6,13,10,0,Stickney
Stone Park,2012,3,0,3,2,0,2,5,5,0,Stone Park
Streamwood,2012,6,0,6,1,0,1,7,7,0,Streamwood
Summit,2012,4,0,4,5,0,5,9,9,0,Summit
Thornton,2012,NA,NA,NA,1,0,1,1,1,0,Thornton
Tinley Park,2012,8,0,8,5,0,5,13,13,0,Tinley Park
University Park,2012,1,0,1,NA,NA,NA,1,1,0,University Park
Vernon Hills,2012,1,0,1,4,0,4,5,5,0,Vernon Hills
Villa Park,2012,8,0,7,2,0,2,10,9,0,Villa Park
Warrenville,2012,6,0,6,1,0,1,7,7,0,Warrenville
Wauconda,2012,1,0,1,4,1,3,5,4,1,Wauconda
Waukegan,2012,20,0,20,23,0,23,43,43,0,Waukegan
West Chicago,2012,3,0,3,4,1,3,7,6,1,West Chicago
West Dundee,2012,NA,NA,NA,1,0,1,1,1,0,West Dundee
Westchester,2012,5,0,5,1,0,1,6,6,0,Westchester
Western Springs,2012,6,0,6,1,0,1,7,7,0,Western Springs
Westmont,2012,4,0,4,6,0,5,10,9,0,Westmont
Wheaton,2012,13,0,12,11,0,11,24,23,0,Wheaton
Wheeling,2012,14,0,14,6,0,5,20,19,0,Wheeling
Willow Springs,2012,1,0,1,NA,NA,NA,1,1,0,Willow Springs
Willowbrook,2012,NA,NA,NA,3,0,3,3,3,0,Willowbrook
Willowbrook,2012,NA,NA,NA,3,0,3,3,3,0,Willowbrook
Wilmette,2012,15,0,12,7,0,7,22,19,0,Wilmette
Wilmington,2012,1,0,0,1,0,1,2,1,0,Wilmington
Wilmington,2012,1,0,0,1,0,1,2,1,0,Wilmington
Winfield,2012,1,0,1,NA,NA,NA,1,1,0,Winfield
Winnetka,2012,7,0,7,2,0,2,9,9,0,Winnetka
Winthrop Harbor,2012,1,0,1,1,0,1,2,2,0,Winthrop Harbor
Wood Dale,2012,7,0,7,3,1,2,10,9,1,Wood Dale
Woodridge,2012,7,0,7,4,0,4,11,11,0,Woodridge
Woodstock,2012,5,0,5,4,0,4,9,9,0,Woodstock
Worth,2012,4,0,4,7,0,7,11,11,0,Worth
Zion,2012,8,0,8,9,1,8,17,16,1,Zion
