town,year,pop2015
Hainesville,2015,3690
Hamburg,2015,77
Hamel,2015,886
Hamilton,2015,2918
Hammond,2015,446
Hampshire,2015,5851
Hampton,2015,1942
Hanaford,2015,297
Hanna City,2015,1361
Hanover,2015,711
Hanover Park,2015,38373
Hardin,2015,944
Harmon,2015,122
Harrisburg,2015,9247
Harrison,2015,957
Harristown,2015,1330
Hartford,2015,1654
Hartsburg,2015,243
Harvard,2015,9802
Harvel,2015,182
Harvey,2015,25773
Harwood Heights,2015,8649
Havana,2015,3395
Hawthorn Woods,2015,7634
Hazel Crest,2015,14195
Hebron,2015,1237
Hecker,2015,467
Henderson,2015,237
Hennepin,2015,905
Henning,2015,354
Henry,2015,2343
Heritage Lake,2015,1354
Herrick,2015,440
Herrin,2015,12797
Herscher,2015,1548
Hettick,2015,176
Heyworth,2015,2937
Hickory Hills,2015,13933
Hidalgo,2015,108
Highland,2015,9848
Highland Park,2015,29789
Highwood,2015,5391
Hillcrest,2015,1167
Hillsboro,2015,8545
Hillsdale,2015,547
Hillside,2015,8190
Hillview,2015,182
Hinckley,2015,2035
Hindsboro,2015,330
Hinsdale,2015,17308
Hodgkins,2015,2097
Hoffman,2015,474
Hoffman Estates,2015,52271
Holiday Hills,2015,658
Holiday Shores,2015,2913
Hollowayville,2015,68
Homer,2015,1246
Homer Glen,2015,24358
Hometown,2015,4356
Homewood,2015,19375
Hoopeston,2015,5420
Hooppole,2015,337
Hopedale,2015,1013
Hopewell,2015,451
Hopkins Park,2015,409
Hoyleton,2015,661
Hudson,2015,1931
Huey,2015,199
Hull,2015,499
Humboldt,2015,448
Hume,2015,366
Huntley,2015,25412
Hurst,2015,780
Hutsonville,2015,567
Illiopolis,2015,943
Ina,2015,2342
Indian Creek,2015,569
Indian Head Park,2015,3827
Indianola,2015,368
Industry,2015,396
Ingalls Park,2015,3047
Inverness,2015,7431
Iola,2015,107
Ipava,2015,560
Iroquois,2015,160
Irving,2015,445
Irvington,2015,848
Irwin,2015,82
Island Lake,2015,8041
Itasca,2015,8574
Iuka,2015,472
Ivesdale,2015,281
Jacksonville,2015,19241
Jeffersonville,2015,497
Jeisyville,2015,111
Jerome,2015,1579
Jerseyville,2015,8583
Jewett,2015,276
Johnsburg,2015,6321
Johnsonville,2015,57
Johnston City,2015,3531
Joliet,2015,147918
Jonesboro,2015,2059
Joppa,2015,342
Joy,2015,378
Junction,2015,113
Junction City,2015,513
Justice,2015,13015
Kampsville,2015,304
Kane,2015,383
Kaneville,2015,432
Kangley,2015,337
Kankakee,2015,26821
Kansas,2015,655
Kappa,2015,313
Karnak,2015,605
Kaskaskia,2015,20
Keenes,2015,71
Keensburg,2015,138
Keithsburg,2015,609
Kell,2015,196
Kempton,2015,150
Kenilworth,2015,2653
Kenney,2015,330
Kewanee,2015,12736
Keyesport,2015,542
Kilbourne,2015,284
Kildeer,2015,3938
Kincaid,2015,1653
Kinderhook,2015,269
Kingston,2015,1066
Kingston Mines,2015,288
Kinmundy,2015,1015
Kinsman,2015,118
Kirkland,2015,1655
Kirkwood,2015,773
Knollwood,2015,1613
Knoxville,2015,2827
Lacon,2015,1996
Ladd,2015,1212
La Fayette,2015,252
La Grange,2015,15709
La Grange Park,2015,13649
La Harpe,2015,1414
Lake Barrington,2015,4934
Lake Bluff,2015,5813
Lake Camelot,2015,1986
Lake Catherine,2015,1712
Lake Forest,2015,18951
Lake Holiday,2015,4852
Lake in the Hills,2015,28968
Lake Ka-Ho,2015,232
Lakemoor,2015,6535
Lake of the Woods,2015,2941
Lake Petersburg,2015,628
Lake Summerset,2015,1999
Lake Villa,2015,8878
Lakewood,2015,4258
Lakewood Shores,2015,1385
Lake Zurich,2015,19923
La Moille,2015,793
Lanark,2015,1625
Langleyville,2015,348
Lansing,2015,28445
LaPlace,2015,157
La Prairie,2015,84
La Rose,2015,113
LaSalle,2015,9510
Latham,2015,277
Lawrenceville,2015,4486
Leaf River,2015,585
Lebanon,2015,4259
Lee,2015,352
Leland,2015,978
Leland Grove,2015,1617
Lemont,2015,16513
Lena,2015,2935
Lenzburg,2015,509
Leonore,2015,75
Lerna,2015,324
Le Roy,2015,3584
Lewistown,2015,2395
Lexington,2015,2153
Liberty,2015,512
Libertyville,2015,20395
Lily Lake,2015,1113
Lima,2015,175
Limestone,2015,1435
Lincoln,2015,14285
Lincolnshire,2015,7271
Lincolnwood,2015,12666
Lindenhurst,2015,14414
Lisbon,2015,368
Lisle,2015,22747
Litchfield,2015,7004
Littleton,2015,175
Little York,2015,288
Liverpool,2015,144
Livingston,2015,809
Loami,2015,932
Lockport,2015,25088
Loda,2015,323
Lomax,2015,358
Lombard,2015,43957
London Mills,2015,375
Long Creek,2015,1528
Long Grove,2015,8086
Long Lake,2015,3715
Long Point,2015,204
Longview,2015,146
Loraine,2015,301
Lostant,2015,396
Lost Nation,2015,650
Louisville,2015,1038
Loves Park,2015,24494
Lovington,2015,1042
Ludlow,2015,393
Lyndon,2015,682
Lynnville,2015,62
Lynwood,2015,9297
Lyons,2015,10668
McClure,2015,376
McCook,2015,208
McCullom Lake,2015,913
Macedonia,2015,59
McHenry,2015,26739
Machesney Park,2015,23037
Mackinaw,2015,2357
McLean,2015,821
McLeansboro,2015,2894
McNabb,2015,360
Macomb,2015,18944
Macon,2015,1229
Madison,2015,4063
Maeystown,2015,123
Magnolia,2015,386
Mahomet,2015,7762
Makanda,2015,588
Malden,2015,375
Malta,2015,1118
Manchester,2015,327
Manhattan,2015,7161
Manito,2015,1689
Manlius,2015,423
Mansfield,2015,896
Manteno,2015,9251
Maple Park,2015,1316
Mapleton,2015,329
Maquon,2015,340
Marengo,2015,7714
Marietta,2015,218
Marine,2015,1107
Marion,2015,17588
Marissa,2015,2011
Mark,2015,599
Markham,2015,12685
Maroa,2015,1724
Marquette Heights,2015,2851
Marseilles,2015,4757
Marshall,2015,3895
Martinsville,2015,1219
Martinton,2015,304
Maryville,2015,7791
Mascoutah,2015,7801
Mason,2015,463
Mason City,2015,2305
Matherville,2015,960
Matteson,2015,19159
Mattoon,2015,17646
Maunie,2015,122
Maywood,2015,24138
Mazon,2015,1024
Mechanicsburg,2015,560
Media,2015,148
Medora,2015,408
Melrose Park,2015,25491
Melvin,2015,509
Mendon,2015,912
Mendota,2015,7321
Menominee,2015,264
Meredosia,2015,1043
Merrionette Park,2015,1812
Metamora,2015,3454
Metcalf,2015,204
Metropolis,2015,6417
Mettawa,2015,430
Middletown,2015,280
Midlothian,2015,14906
Milan,2015,5137
Milford,2015,1289
Millbrook,2015,342
Mill Creek,2015,36
Milledgeville,2015,1061
Millington,2015,643
Mill Shoals,2015,204
Millstadt,2015,3930
Milton,2015,287
Mineral,2015,248
Minier,2015,1346
Minonk,2015,2087
Minooka,2015,11505
Mitchell,2015,1161
Modesto,2015,174
Mokena,2015,19369
Moline,2015,43062
Momence,2015,2845
Monee,2015,5114
Monmouth,2015,9302
Monroe Center,2015,477
Montgomery,2015,19196
Monticello,2015,5493
Montrose,2015,280
Morris,2015,14402
Morrison,2015,4225
Morrisonville,2015,903
Morton,2015,16534
Morton Grove,2015,23472
Mound City,2015,634
