town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
Brookfield,Brookfield,2014,5,0,4,3,0,3,8,7,0,"19,022",0.26,0.16,0.42
Brookfield,Brookfield,2015,5,0,5,10,0,10,15,15,0,"18,964",0.26,0.53,0.79
Buffalo Grove,Buffalo Grove,2012,11,0,11,4,0,4,15,15,0,"41,667",0.26,0.1,0.36
Buffalo Grove,Buffalo Grove,2013,6,0,6,4,0,4,10,10,0,"41,663",0.14,0.1,0.24
Buffalo Grove,Buffalo Grove,2014,2,0,2,4,0,4,6,6,0,"41,613",0.05,0.1,0.14
Buffalo Grove,Buffalo Grove,2015,2,0,2,8,0,8,10,10,0,"41,591",0.05,0.19,0.24
Burbank,Burbank,2012,5,0,5,9,0,9,14,14,0,"28,851",0.17,0.31,0.49
Burbank,Burbank,2013,6,0,6,6,0,6,12,12,0,"28,993",0.21,0.21,0.41
Burbank,Burbank,2014,4,0,4,9,0,9,13,13,0,"29,097",0.14,0.31,0.45
Burbank,Burbank,2015,5,0,5,4,0,4,9,9,0,"29,157",0.17,0.14,0.31
Burnham,Burnham,2012,,,,1,0,1,1,1,0,"4,208",0,0.24,0.24
Burnham,Burnham,2013,,,,2,0,2,2,2,0,"4,209",0,0.48,0.48
Burnham,Burnham,2015,2,0,2,,,,2,2,0,"4,224",0.47,0,0.47
Burr Ridge,Burr Ridge,2012,2,0,2,2,0,2,4,4,0,"10,590",0.19,0.19,0.38
Burr Ridge,Burr Ridge,2013,3,0,3,,,,3,3,0,"10,615",0.28,0,0.28
Burr Ridge,Burr Ridge,2014,2,0,2,,,,2,2,0,"10,678",0.19,0,0.19
Burr Ridge,Burr Ridge,2015,1,0,1,1,1,0,2,1,1,"10,753",0.09,0.09,0.19
Calumet City,Calumet City,2012,7,0,7,15,1,14,22,21,1,"37,070",0.19,0.4,0.59
Calumet City,Calumet City,2013,2,0,2,21,0,20,23,22,0,"37,130",0.05,0.57,0.62
Calumet City,Calumet City,2014,5,0,5,15,0,15,20,20,0,"37,197",0.13,0.4,0.54
Calumet City,Calumet City,2015,4,0,4,9,0,9,13,13,0,"37,184",0.11,0.24,0.35
Calumet Park,Calumet Park,2012,2,0,2,6,0,6,8,8,0,"7,913",0.25,0.76,1.01
Calumet Park,Calumet Park,2013,,,,7,0,7,7,7,0,"7,973",0,0.88,0.88
Calumet Park,Calumet Park,2014,2,0,2,4,0,4,6,6,0,"8,189",0.24,0.49,0.73
Calumet Park,Calumet Park,2015,1,0,1,4,0,3,5,4,0,"8,367",0.12,0.48,0.6
Campton Hills,Campton Hills,2013,,,,1,0,1,1,1,0,"10,857",0,0.09,0.09
Campton Hills,Campton Hills,2014,1,0,1,,,,1,1,0,"10,908",0.09,0,0.09
Campton Hills,Campton Hills,2015,1,0,1,,,,1,1,0,"11,012",0.09,0,0.09
Carol Stream,Carol Stream,2012,5,0,4,8,0,7,13,11,0,"39,869",0.13,0.2,0.33
Carol Stream,Carol Stream,2013,4,0,3,7,0,7,11,10,0,"39,970",0.1,0.18,0.28
Carol Stream,Carol Stream,2014,5,0,5,4,0,4,9,9,0,"40,136",0.12,0.1,0.22
Carol Stream,Carol Stream,2015,8,0,8,2,0,2,10,10,0,"40,253",0.2,0.05,0.25
Carpentersville,Carpentersville,2012,3,0,3,7,0,7,10,10,0,"37,758",0.08,0.19,0.26
Carpentersville,Carpentersville,2013,4,0,4,6,0,6,10,10,0,"37,953",0.11,0.16,0.26
Carpentersville,Carpentersville,2014,2,0,2,4,0,4,6,6,0,"38,128",0.05,0.1,0.16
Carpentersville,Carpentersville,2015,2,0,2,3,0,3,5,5,0,"38,264",0.05,0.08,0.13
Cary,Cary,2012,1,0,0,4,0,4,5,4,0,"18,202",0.05,0.22,0.27
Cary,Cary,2013,1,0,1,,,,1,1,0,"18,165",0.06,0,0.06
Cary,Cary,2014,2,0,2,1,0,1,3,3,0,"18,115",0.11,0.06,0.17
Cary,Cary,2015,,,,2,0,2,2,2,0,"18,038",0,0.11,0.11
