town,town2,year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal,pop,cycle_rate,ped_rate,total_rate
North Riverside,North Riverside,2015,8,0,8,4,1,3,12,11,1,"6,991",1.14,0.57,1.72
Northbrook,Northbrook,2012,20,0,20,7,0,7,27,27,0,"33,095",0.6,0.21,0.82
Northbrook,Northbrook,2013,8,0,8,5,0,5,13,13,0,"33,283",0.24,0.15,0.39
Northbrook,Northbrook,2014,8,0,8,4,1,3,12,11,1,"33,396",0.24,0.12,0.36
Northbrook,Northbrook,2015,7,0,7,3,0,3,10,10,0,"33,572",0.21,0.09,0.3
Northfield,Northfield,2012,2,0,2,,,,2,2,0,"5,234",0.38,0,0.38
Northfield,Northfield,2013,3,0,3,2,0,2,5,5,0,"5,161",0.58,0.39,0.97
Northfield,Northfield,2014,,,,1,0,1,1,1,0,"5,332",0,0.19,0.19
Northlake,North Lake,2012,3,0,3,2,0,2,5,5,0,"12,287",0.24,0.16,0.41
Northlake,North Lake,2013,3,0,3,3,0,3,6,6,0,"12,338",0.24,0.24,0.49
Northlake,North Lake,2014,2,0,2,4,1,3,6,5,1,"12,368",0.16,0.32,0.49
Northlake,North Lake,2015,2,0,2,3,1,2,5,4,1,"12,353",0.16,0.24,0.4
Oak Brook,Oak Brook,2012,8,0,7,1,0,1,9,8,0,"7,905",1.01,0.13,1.14
Oak Brook,Oak Brook,2013,1,0,1,3,0,3,4,4,0,"7,956",0.13,0.38,0.5
Oak Brook,Oak Brook,2014,2,0,2,4,0,4,6,6,0,"7,967",0.25,0.5,0.75
Oak Brook,Oak Brook,2015,1,0,1,2,0,2,3,3,0,"7,977",0.13,0.25,0.38
Oak Forest,Oak Forest,2012,1,0,1,3,0,3,4,4,0,"27,922",0.04,0.11,0.14
Oak Forest,Oak Forest,2013,3,0,3,4,0,4,7,7,0,"28,053",0.11,0.14,0.25
Oak Forest,Oak Forest,2014,2,0,1,3,0,2,5,3,0,"28,104",0.07,0.11,0.18
Oak Forest,Oak Forest,2015,,,,1,0,1,1,1,0,"28,134",0,0.04,0.04
Oak Lawn,Oak Lawn,2012,8,0,6,15,1,14,23,20,1,"56,524",0.14,0.27,0.41
Oak Lawn,Oak Lawn,2013,7,0,6,20,1,19,27,25,1,"56,765",0.12,0.35,0.48
Oak Lawn,Oak Lawn,2014,12,0,12,26,2,24,38,36,2,"56,969",0.21,0.46,0.67
Oak Lawn,Oak Lawn,2015,11,0,11,11,1,10,22,21,1,"56,980",0.19,0.19,0.39
Oak Park,Oak Park,2012,31,0,29,40,0,39,71,68,0,"51,781",0.6,0.77,1.37
Oak Park,Oak Park,2013,28,1,25,36,0,34,64,59,1,"51,902",0.54,0.69,1.23
Oak Park,Oak Park,2014,22,0,21,37,0,37,59,58,0,"51,988",0.42,0.71,1.13
Oak Park,Oak Park,2015,22,0,22,43,0,41,65,63,0,"52,080",0.42,0.83,1.25
Oakbrook Terrace,Oakbrook Terrace,2012,1,0,1,1,0,1,2,2,0,"2,205",0.45,0.45,0.91
Oakbrook Terrace,Oakbrook Terrace,2013,3,0,3,1,0,1,4,4,0,"2,010",1.49,0.5,1.99
Oakbrook Terrace,Oakbrook Terrace,2014,,,,2,0,2,2,2,0,"2,061",0,0.97,0.97
Oakbrook Terrace,Oakbrook Terrace,2015,2,1,1,2,0,2,4,3,1,"2,252",0.89,0.89,1.78
Old Mill Creek,Old Mill Creek,2013,1,0,1,,,,1,1,0,174,5.75,0,5.75
Olympia Fields,Olympia Fields,2013,1,0,1,2,0,2,3,3,0,"4,812",0.21,0.42,0.62
Olympia Fields,Olympia Fields,2014,1,0,1,1,0,1,2,2,0,"5,022",0.2,0.2,0.4
Olympia Fields,Olympia Fields,2015,1,1,0,,,,1,0,1,"4,916",0.2,0,0.2
Orland Hills,Orland Hills,2013,,,,1,0,1,1,1,0,"7,213",0,0.14,0.14
Orland Hills,Orland Hills,2015,1,0,1,,,,1,1,0,"7,259",0.14,0,0.14
Orland Park,Orland Park,2012,5,0,5,7,0,7,12,12,0,"56,607",0.09,0.12,0.21
Orland Park,Orland Park,2013,7,0,6,10,1,8,17,14,1,"57,194",0.12,0.17,0.3
Orland Park,Orland Park,2014,2,0,1,2,0,2,4,3,0,"57,802",0.03,0.03,0.07
Orland Park,Orland Park,2015,4,0,3,7,0,5,11,8,0,"58,273",0.07,0.12,0.19
Palatine,Palatine,2012,14,0,11,13,1,10,27,21,1,"68,338",0.2,0.19,0.4
Palatine,Palatine,2013,5,0,5,11,0,8,16,13,0,"68,738",0.07,0.16,0.23
Palatine,Palatine,2014,8,0,7,5,0,5,13,12,0,"69,015",0.12,0.07,0.19
Palatine,Palatine,2015,9,0,8,12,1,11,21,19,1,"69,188",0.13,0.17,0.3
Palos Heights,Palos Hts,2012,1,0,1,2,0,2,3,3,0,"12,446",0.08,0.16,0.24
Palos Heights,Palos Hts,2013,1,1,0,,,,1,0,1,"12,540",0.08,0,0.08
Palos Heights,Palos Hts,2014,1,0,1,1,0,1,2,2,0,"12,572",0.08,0.08,0.16
Palos Heights,Palos Hts,2015,3,0,3,4,0,4,7,7,0,"12,566",0.24,0.32,0.56
Palos Hills,Palos Hills,2012,2,0,2,2,0,2,4,4,0,"17,458",0.11,0.11,0.23
Palos Hills,Palos Hills,2013,4,0,4,3,0,3,7,7,0,"17,544",0.23,0.17,0.4
Palos Hills,Palos Hills,2014,2,0,2,2,0,2,4,4,0,"17,584",0.11,0.11,0.23
Palos Hills,Palos Hills,2015,4,0,4,6,0,6,10,10,0,"17,596",0.23,0.34,0.57
Palos Park,Palos Park,2014,,,,1,0,1,1,1,0,"4,919",0,0.2,0.2
Palos Park,Palos Park,2015,,,,1,0,1,1,1,0,"4,944",0,0.2,0.2
Park City,Park City,2012,,,,2,0,2,2,2,0,"7,383",0,0.27,0.27
Park City,Park City,2013,,,,3,0,3,3,3,0,"7,391",0,0.41,0.41
Park City,Park City,2014,2,0,2,1,0,1,3,3,0,"7,551",0.26,0.13,0.4
Park City,Park City,2015,,,,2,0,1,2,1,0,"7,432",0,0.27,0.27
Park Forest,Park Forest,2012,,,,2,0,2,2,2,0,"22,424",0,0.09,0.09
Park Forest,Park Forest,2013,2,0,2,1,0,0,3,2,0,"22,480",0.09,0.04,0.13
Park Forest,Park Forest,2014,3,0,3,3,0,3,6,6,0,"22,490",0.13,0.13,0.27
Park Forest,Park Forest,2015,2,0,2,1,1,0,3,2,1,"21,928",0.09,0.05,0.14
Park Ridge,Park Ridge,2012,13,0,12,10,1,9,23,21,1,"37,266",0.35,0.27,0.62
Park Ridge,Park Ridge,2013,19,0,19,7,1,6,26,25,1,"37,421",0.51,0.19,0.69
Park Ridge,Park Ridge,2014,15,0,15,17,1,16,32,31,1,"37,511",0.4,0.45,0.85
Park Ridge,Park Ridge,2015,10,0,10,17,0,17,27,27,0,"37,608",0.27,0.45,0.72
Peotone,Peotone,2012,,,,2,0,2,2,2,0,"4,703",0,0.43,0.43
Peotone,Peotone,2014,1,0,1,1,0,1,2,2,0,"4,122",0.24,0.24,0.49
Phoenix,Phoenix,2013,,,,2,0,2,2,2,0,"2,050",0,0.98,0.98
Phoenix,Phoenix,2014,,,,1,0,1,1,1,0,"2,143",0,0.47,0.47
Pingree Grove,Pingree Grove,2015,,,,1,0,0,1,0,0,"5,460",0,0.18,0.18
Plainfield,Plainfield,2012,1,0,1,3,0,3,4,4,0,"39,030",0.03,0.08,0.1
Plainfield,Plainfield,2013,4,0,4,3,0,3,7,7,0,"39,952",0.1,0.08,0.18
Plainfield,Plainfield,2014,5,0,5,2,0,2,7,7,0,"40,641",0.12,0.05,0.17
Plainfield,Plainfield,2015,3,0,3,5,1,4,8,7,1,"40,855",0.07,0.12,0.2
Posen,Posen,2012,1,0,1,1,0,1,2,2,0,"5,975",0.17,0.17,0.33
Posen,Posen,2014,,,,4,0,4,4,4,0,"5,934",0,0.67,0.67
Posen,Posen,2015,2,0,2,1,0,1,3,3,0,"6,319",0.32,0.16,0.47
Prairie Grove,Prairie Grove,2012,1,0,0,,,,1,0,0,"1,787",0.56,0,0.56
Prairie Grove,Prairie Grove,2015,2,0,2,,,,2,2,0,"1,685",1.19,0,1.19
Prospect Heights,Prospect Hts,2012,,,,1,1,0,1,0,1,"16,228",0,0.06,0.06
Prospect Heights,Prospect Hts,2013,3,0,3,2,0,2,5,5,0,"16,264",0.18,0.12,0.31
Prospect Heights,Prospect Hts,2014,3,0,3,5,0,5,8,8,0,"16,344",0.18,0.31,0.49
Prospect Heights,Prospect Hts,2015,2,0,2,2,0,2,4,4,0,"16,370",0.12,0.12,0.24
Richmond,Richmond,2012,1,0,1,,,,1,1,0,"2,092",0.48,0,0.48
Richmond,Richmond,2014,,,,1,0,1,1,1,0,"2,120",0,0.47,0.47
Richmond,Richmond,2015,,,,1,0,1,1,1,0,"1,989",0,0.5,0.5
Richton Park,Richton Park,2012,,,,1,0,1,1,1,0,"13,568",0,0.07,0.07
Richton Park,Richton Park,2013,3,0,2,,,,3,2,0,"13,655",0.22,0,0.22
Richton Park,Richton Park,2014,2,0,2,2,0,2,4,4,0,"13,718",0.15,0.15,0.29
Richton Park,Richton Park,2015,1,0,1,4,0,3,5,4,0,"13,744",0.07,0.29,0.36
River Forest,River Forest,2012,5,0,5,3,0,3,8,8,0,"11,174",0.45,0.27,0.72
River Forest,River Forest,2013,6,0,6,10,0,10,16,16,0,"11,183",0.54,0.89,1.43
River Forest,River Forest,2014,6,0,6,9,0,9,15,15,0,"11,211",0.54,0.8,1.34
River Forest,River Forest,2015,3,0,3,5,1,4,8,7,1,"11,233",0.27,0.45,0.71
River Grove,River Grove,2012,7,0,3,9,0,9,16,12,0,"10,224",0.68,0.88,1.56
River Grove,River Grove,2013,7,0,7,5,0,4,12,11,0,"10,249",0.68,0.49,1.17
River Grove,River Grove,2014,4,0,4,3,0,3,7,7,0,"10,268",0.39,0.29,0.68
River Grove,River Grove,2015,10,0,10,7,0,7,17,17,0,"10,260",0.97,0.68,1.66
Riverdale,Riverdale,2012,2,0,2,5,1,4,7,6,1,"13,552",0.15,0.37,0.52
Riverdale,Riverdale,2013,,,,8,1,7,8,7,1,"13,455",0,0.59,0.59
Riverdale,Riverdale,2014,3,0,3,7,0,7,10,10,0,"13,278",0.23,0.53,0.75
Riverdale,Riverdale,2015,,,,7,0,7,7,7,0,"13,106",0,0.53,0.53
Riverside,Riverside,2012,4,0,4,2,0,1,6,5,0,"8,859",0.45,0.23,0.68
Riverside,Riverside,2013,7,0,7,2,0,2,9,9,0,"8,913",0.79,0.22,1.01
Riverside,Riverside,2014,8,0,8,4,0,4,12,12,0,"8,915",0.9,0.45,1.35
Riverside,Riverside,2015,3,0,3,2,0,2,5,5,0,"8,859",0.34,0.23,0.56
Riverwoods,Riverwoods,2012,,,,1,0,1,1,1,0,"3,854",0,0.26,0.26
Riverwoods,Riverwoods,2013,,,,1,0,1,1,1,0,"3,902",0,0.26,0.26
Robbins,Robbins,2012,2,0,2,,,,2,2,0,"5,132",0.39,0,0.39
Robbins,Robbins,2013,6,0,6,4,0,4,10,10,0,"5,151",1.16,0.78,1.94
Robbins,Robbins,2014,1,0,1,2,0,2,3,3,0,"5,221",0.19,0.38,0.57
Robbins,Robbins,2015,1,0,0,2,0,1,3,1,0,"5,157",0.19,0.39,0.58
Rockdale,Rockdale,2012,1,1,0,,,,1,0,1,"1,909",0.52,0,0.52
Rockdale,Rockdale,2014,1,0,0,2,1,1,3,1,1,"1,974",0.51,1.01,1.52
Rockdale,Rockdale,2015,,,,1,0,1,1,1,0,"2,061",0,0.49,0.49
Rolling Meadows,Rolling Meadows,2012,8,0,6,1,0,1,9,7,0,"23,645",0.34,0.04,0.38
Rolling Meadows,Rolling Meadows,2013,8,0,8,1,0,1,9,9,0,"23,655",0.34,0.04,0.38
Rolling Meadows,Rolling Meadows,2014,4,0,3,3,0,3,7,6,0,"23,646",0.17,0.13,0.3
Rolling Meadows,Rolling Meadows,2015,5,1,4,4,0,4,9,8,1,"23,401",0.21,0.17,0.38
Romeoville,Romeoville,2012,1,0,1,9,1,7,10,8,1,"39,175",0.03,0.23,0.26
Romeoville,Romeoville,2013,6,0,6,3,1,2,9,8,1,"39,520",0.15,0.08,0.23
Romeoville,Romeoville,2014,5,0,5,5,2,3,10,8,2,"39,675",0.13,0.13,0.25
Romeoville,Romeoville,2015,4,0,4,4,0,4,8,8,0,"39,774",0.1,0.1,0.2
Roselle,Roselle,2012,3,0,3,1,0,1,4,4,0,"22,814",0.13,0.04,0.18
Roselle,Roselle,2013,4,0,4,3,0,3,7,7,0,"22,863",0.17,0.13,0.31
Roselle,Roselle,2014,6,1,4,4,0,4,10,8,1,"22,951",0.26,0.17,0.44
Roselle,Roselle,2015,2,0,2,5,0,5,7,7,0,"22,979",0.09,0.22,0.3
Rosemont,Rosemont,2012,2,0,2,7,0,7,9,9,0,"3,499",0.57,2,2.57
Rosemont,Rosemont,2013,3,0,3,4,1,2,7,5,1,"3,906",0.77,1.02,1.79
Rosemont,Rosemont,2014,,,,4,0,4,4,4,0,"4,043",0,0.99,0.99
Rosemont,Rosemont,2015,,,,5,0,4,5,4,0,"4,305",0,1.16,1.16
Round Lake,Round Lake,2012,1,0,1,4,0,4,5,5,0,"17,773",0.06,0.23,0.28
Round Lake,Round Lake,2013,3,0,3,,,,3,3,0,"18,216",0.16,0,0.16
Round Lake,Round Lake,2014,1,0,1,1,0,1,2,2,0,"18,399",0.05,0.05,0.11
Round Lake,Round Lake,2015,1,0,1,3,0,3,4,4,0,"18,446",0.05,0.16,0.22
Round Lake Beach,Round Lake Bch,2012,5,1,4,3,0,3,8,7,1,"28,133",0.18,0.11,0.28
Round Lake Beach,Round Lake Bch,2013,7,0,7,5,0,4,12,11,0,"28,114",0.25,0.18,0.43
Round Lake Beach,Round Lake Bch,2014,1,0,1,4,0,4,5,5,0,"28,048",0.04,0.14,0.18
Round Lake Beach,Round Lake Bch,2015,3,0,3,7,0,7,10,10,0,"27,966",0.11,0.25,0.36
Round Lake Heights,Round Lake Hts,2012,1,0,1,2,0,2,3,3,0,"2,818",0.35,0.71,1.06
Round Lake Park,Round Lake Park,2012,2,0,2,,,,2,2,0,"7,382",0.27,0,0.27
Round Lake Park,Round Lake Park,2013,,,,2,0,2,2,2,0,"7,376",0,0.27,0.27
Round Lake Park,Round Lake Park,2014,2,0,2,1,0,1,3,3,0,"7,758",0.26,0.13,0.39
Round Lake Park,Round Lake Park,2015,1,0,1,3,0,3,4,4,0,"7,957",0.13,0.38,0.5
Sauk Village,Sauk Village,2012,,,,3,1,2,3,2,1,"10,473",0,0.29,0.29
Sauk Village,Sauk Village,2013,1,0,1,2,0,2,3,3,0,"10,519",0.1,0.19,0.29
Sauk Village,Sauk Village,2014,1,0,1,6,0,5,7,6,0,"10,545",0.09,0.57,0.66
Sauk Village,Sauk Village,2015,4,1,3,,,,4,3,1,"10,540",0.38,0,0.38
Schaumburg,Schaumburg,2012,17,0,16,10,2,8,27,24,2,"74,276",0.23,0.13,0.36
Schaumburg,Schaumburg,2013,16,0,16,6,0,6,22,22,0,"74,292",0.22,0.08,0.3
Schaumburg,Schaumburg,2014,15,0,15,5,0,5,20,20,0,"74,560",0.2,0.07,0.27
Schaumburg,Schaumburg,2015,16,0,16,11,0,11,27,27,0,"74,559",0.21,0.15,0.36
Schiller Park,Schiller Park,2012,3,0,3,3,0,3,6,6,0,"11,782",0.25,0.25,0.51
Schiller Park,Schiller Park,2013,6,0,6,5,0,5,11,11,0,"11,790",0.51,0.42,0.93
Schiller Park,Schiller Park,2014,4,0,4,8,1,7,12,11,1,"11,842",0.34,0.68,1.01
Schiller Park,Schiller Park,2015,2,0,2,8,1,6,10,8,1,"11,834",0.17,0.68,0.85
Shorewood,Shorewood,2012,3,0,3,1,0,1,4,4,0,"15,611",0.19,0.06,0.26
Shorewood,Shorewood,2013,1,0,1,1,0,1,2,2,0,"15,906",0.06,0.06,0.13
Shorewood,Shorewood,2014,1,0,1,2,1,1,3,2,1,"16,186",0.06,0.12,0.19
Shorewood,Shorewood,2015,2,0,2,3,0,3,5,5,0,"16,354",0.12,0.18,0.31
Skokie,Skokie,2012,26,2,23,22,1,21,48,44,3,"64,588",0.4,0.34,0.74
Skokie,Skokie,2013,43,0,42,28,3,24,71,66,3,"64,885",0.66,0.43,1.09
Skokie,Skokie,2014,29,0,28,30,2,27,59,55,2,"65,056",0.45,0.46,0.91
Skokie,Skokie,2015,33,1,32,29,0,29,62,61,1,"65,061",0.51,0.45,0.95
Sleepy Hollow,Sleepy Hollow,2014,,,,1,0,1,1,1,0,"3,336",0,0.3,0.3
Sleepy Hollow,Sleepy Hollow,2015,1,0,1,2,0,2,3,3,0,"3,337",0.3,0.6,0.9
South Barrington,South Barrington,2012,,,,1,1,0,1,0,1,"4,738",0,0.21,0.21
South Chicago Heights,South Chicago Hts,2012,,,,2,0,2,2,2,0,"4,123",0,0.49,0.49
South Chicago Heights,South Chicago Hts,2013,2,0,1,1,0,1,3,2,0,"4,151",0.48,0.24,0.72
South Chicago Heights,South Chicago Hts,2014,,,,1,0,1,1,1,0,"4,164",0,0.24,0.24
South Elgin,So Elgin,2012,1,0,1,4,0,4,5,5,0,"21,873",0.05,0.18,0.23
South Elgin,So Elgin,2013,4,0,3,1,0,1,5,4,0,"22,041",0.18,0.05,0.23
South Elgin,So Elgin,2014,1,0,1,3,0,3,4,4,0,"22,126",0.05,0.14,0.18
South Elgin,So Elgin,2015,5,0,5,2,0,2,7,7,0,"22,227",0.22,0.09,0.31
South Holland,South Holland,2012,,,,4,1,3,4,3,1,"21,994",0,0.18,0.18
South Holland,South Holland,2013,1,0,1,8,0,6,9,7,0,"22,082",0.05,0.36,0.41
South Holland,South Holland,2014,,,,6,0,6,6,6,0,"22,123",0,0.27,0.27
South Holland,South Holland,2015,2,0,2,10,0,8,12,10,0,"22,124",0.09,0.45,0.54
Spring Grove,Spring Grove,2013,,,,1,0,1,1,1,0,"5,331",0,0.19,0.19
Spring Grove,Spring Grove,2014,1,0,1,,,,1,1,0,"5,390",0.19,0,0.19
St. Charles,St Charles,2012,5,0,4,6,0,6,11,10,0,"33,046",0.15,0.18,0.33
St. Charles,St Charles,2013,13,0,12,4,0,4,17,16,0,"33,227",0.39,0.12,0.51
St. Charles,St Charles,2014,8,0,8,2,0,1,10,9,0,"33,422",0.24,0.06,0.3
St. Charles,St Charles,2015,8,0,8,5,0,5,13,13,0,"33,685",0.24,0.15,0.39
Steger,Steger,2012,3,0,3,3,0,3,6,6,0,"9,629",0.31,0.31,0.62
Steger,Steger,2013,3,1,2,3,0,3,6,5,1,"9,583",0.31,0.31,0.63
Steger,Steger,2014,6,0,6,1,0,1,7,7,0,"9,569",0.63,0.1,0.73
Steger,Steger,2015,1,0,1,,,,1,1,0,"9,563",0.1,0,0.1
Stickney,Stickney,2012,5,0,4,8,0,6,13,10,0,"6,731",0.74,1.19,1.93
Stickney,Stickney,2013,2,0,2,3,1,2,5,4,1,"6,794",0.29,0.44,0.74
Stickney,Stickney,2014,1,0,1,1,0,1,2,2,0,"6,810",0.15,0.15,0.29
Stickney,Stickney,2015,5,0,4,5,0,4,10,8,0,"6,804",0.73,0.73,1.47
Stone Park,Stone Park,2012,3,0,3,2,0,2,5,5,0,"4,942",0.61,0.4,1.01
Stone Park,Stone Park,2013,,,,3,0,3,3,3,0,"4,947",0,0.61,0.61
Stone Park,Stone Park,2014,5,0,4,2,0,2,7,6,0,"4,959",1.01,0.4,1.41
Stone Park,Stone Park,2015,1,0,1,7,0,7,8,8,0,"4,947",0.2,1.41,1.62
Streamwood,Streamwood,2012,6,0,6,1,0,1,7,7,0,"40,201",0.15,0.02,0.17
Streamwood,Streamwood,2013,11,0,11,2,0,2,13,13,0,"40,434",0.27,0.05,0.32
Streamwood,Streamwood,2014,11,0,10,4,0,4,15,14,0,"40,746",0.27,0.1,0.37
Streamwood,Streamwood,2015,4,0,4,11,1,10,15,14,1,"40,865",0.1,0.27,0.37
Sugar Grove,Sugar Grove,2015,1,0,1,1,0,1,2,2,0,"9,195",0.11,0.11,0.22
Summit,Summit,2012,4,0,4,5,0,5,9,9,0,"11,166",0.36,0.45,0.81
Summit,Summit,2013,3,0,3,7,1,6,10,9,1,"11,274",0.27,0.62,0.89
Summit,Summit,2014,2,0,2,6,0,5,8,7,0,"11,367",0.18,0.53,0.7
Summit,Summit,2015,2,0,2,3,1,2,5,4,1,"11,447",0.17,0.26,0.44
Third Lake,Third Lake,2013,1,0,1,,,,1,1,0,"1,352",0.74,0,0.74
Thornton,Thornton,2012,,,,1,0,1,1,1,0,"2,718",0,0.37,0.37
Thornton,Thornton,2013,,,,1,0,1,1,1,0,"2,803",0,0.36,0.36
Thornton,Thornton,2015,1,0,1,1,0,1,2,2,0,"2,615",0.38,0.38,0.76
Tinley Park,Tinley Park,2012,8,0,8,5,0,5,13,13,0,"56,340",0.14,0.09,0.23
Tinley Park,Tinley Park,2013,12,0,12,9,0,9,21,21,0,"56,810",0.21,0.16,0.37
Tinley Park,Tinley Park,2014,6,0,5,11,0,11,17,16,0,"57,099",0.11,0.19,0.3
Tinley Park,Tinley Park,2015,6,0,6,8,1,7,14,13,1,"57,176",0.1,0.14,0.24
University Park,University Park,2012,1,0,1,,,,1,1,0,"7,034",0.14,0,0.14
University Park,University Park,2013,,,,2,0,1,2,1,0,"6,987",0,0.29,0.29
University Park,University Park,2014,1,0,1,1,0,1,2,2,0,"6,852",0.15,0.15,0.29
University Park,University Park,2015,,,,2,0,2,2,2,0,"6,963",0,0.29,0.29
Vernon Hills,Vernon Hills,2012,1,0,1,4,0,4,5,5,0,"25,144",0.04,0.16,0.2
Vernon Hills,Vernon Hills,2013,6,0,5,3,0,3,9,8,0,"25,325",0.24,0.12,0.36
Vernon Hills,Vernon Hills,2014,4,0,4,1,0,1,5,5,0,"25,535",0.16,0.04,0.2
Vernon Hills,Vernon Hills,2015,3,0,3,3,0,2,6,5,0,"25,768",0.12,0.12,0.23
Villa Park,Villa Park,2012,8,0,7,2,0,2,10,9,0,"22,212",0.36,0.09,0.45
Villa Park,Villa Park,2013,7,0,7,3,0,3,10,10,0,"22,023",0.32,0.14,0.45
Villa Park,Villa Park,2014,4,0,4,5,0,5,9,9,0,"22,073",0.18,0.23,0.41
Villa Park,Villa Park,2015,3,0,3,4,0,4,7,7,0,"21,800",0.14,0.18,0.32
Virgil,Virgil,2014,,,,1,0,1,1,1,0,347,0,2.88,2.88
Wadsworth,Wadsworth,2013,1,0,1,1,0,1,2,2,0,"3,728",0.27,0.27,0.54
Warrenville,Warrenville,2012,6,0,6,1,0,1,7,7,0,"13,346",0.45,0.07,0.52
Warrenville,Warrenville,2013,2,1,1,1,0,1,3,2,1,"13,384",0.15,0.07,0.22
Warrenville,Warrenville,2014,1,0,1,1,0,1,2,2,0,"13,361",0.07,0.07,0.15
Warrenville,Warrenville,2015,5,0,5,4,1,3,9,8,1,"13,373",0.37,0.3,0.67
Wauconda,Wauconda,2012,1,0,1,4,1,3,5,4,1,"12,960",0.08,0.31,0.39
Wauconda,Wauconda,2013,2,0,2,1,0,1,3,3,0,"13,425",0.15,0.07,0.22
Wauconda,Wauconda,2015,1,0,1,,,,1,1,0,"13,140",0.08,0,0.08
Waukegan,Waukegan,2012,20,0,20,23,0,23,43,43,0,"88,982",0.22,0.26,0.48
Waukegan,Waukegan,2013,26,0,24,22,2,20,48,44,2,"88,560",0.29,0.25,0.54
Waukegan,Waukegan,2014,25,1,23,34,3,31,59,54,4,"88,671",0.28,0.38,0.67
Waukegan,Waukegan,2015,16,1,15,28,0,28,44,43,1,"88,570",0.18,0.32,0.5
West Chicago,West Chicago,2012,3,0,3,4,1,3,7,6,1,"27,079",0.11,0.15,0.26
West Chicago,West Chicago,2013,4,0,4,3,0,3,7,7,0,"27,286",0.15,0.11,0.26
West Chicago,West Chicago,2014,2,0,2,5,0,5,7,7,0,"27,416",0.07,0.18,0.26
West Chicago,West Chicago,2015,,,,4,0,4,4,4,0,"27,461",0,0.15,0.15
West Dundee,West Dundee,2012,,,,1,0,1,1,1,0,"7,307",0,0.14,0.14
West Dundee,West Dundee,2013,2,0,2,1,0,1,3,3,0,"7,331",0.27,0.14,0.41
West Dundee,West Dundee,2014,1,0,1,2,0,2,3,3,0,"7,367",0.14,0.27,0.41
West Dundee,West Dundee,2015,1,0,1,1,0,1,2,2,0,"7,391",0.14,0.14,0.27
Westchester,Westchester,2012,5,0,5,1,0,1,6,6,0,"16,684",0.3,0.06,0.36
Westchester,Westchester,2013,3,0,2,4,0,4,7,6,0,"16,742",0.18,0.24,0.42
Westchester,Westchester,2014,2,0,2,2,0,2,4,4,0,"16,786",0.12,0.12,0.24
Westchester,Westchester,2015,,,,5,0,5,5,5,0,"16,783",0,0.3,0.3
Western Springs,Western Springs,2012,6,0,6,1,0,1,7,7,0,"12,853",0.47,0.08,0.54
Western Springs,Western Springs,2013,2,0,1,1,0,1,3,2,0,"13,008",0.15,0.08,0.23
Western Springs,Western Springs,2014,3,0,3,,,,3,3,0,"13,066",0.23,0,0.23
Western Springs,Western Springs,2015,2,0,2,3,0,3,5,5,0,"13,125",0.15,0.23,0.38
Westmont,Westmont,2012,4,0,4,6,0,5,10,9,0,"25,101",0.16,0.24,0.4
Westmont,Westmont,2013,6,0,6,8,0,8,14,14,0,"24,943",0.24,0.32,0.56
Westmont,Westmont,2014,4,0,4,4,0,4,8,8,0,"25,236",0.16,0.16,0.32
Westmont,Westmont,2015,3,0,2,,,,3,2,0,"25,389",0.12,0,0.12
Wheaton,Wheaton,2012,13,0,12,11,0,11,24,23,0,"53,155",0.24,0.21,0.45
Wheaton,Wheaton,2013,15,0,14,10,0,9,25,23,0,"53,245",0.28,0.19,0.47
Wheaton,Wheaton,2014,7,0,7,10,1,9,17,16,1,"53,406",0.13,0.19,0.32
Wheaton,Wheaton,2015,8,0,8,14,2,12,22,20,2,"53,585",0.15,0.26,0.41
Wheeling,Wheeling,2012,14,0,14,6,0,5,20,19,0,"37,575",0.37,0.16,0.53
Wheeling,Wheeling,2013,13,0,13,10,1,9,23,22,1,"37,764",0.34,0.26,0.61
Wheeling,Wheeling,2014,12,0,12,4,1,3,16,15,1,"37,886",0.32,0.11,0.42
Wheeling,Wheeling,2015,9,0,9,5,0,5,14,14,0,"37,982",0.24,0.13,0.37
Willow Springs,Willow Springs,2012,1,0,1,,,,1,1,0,"5,455",0.18,0,0.18
Willow Springs,Willow Springs,2013,1,0,1,,,,1,1,0,"5,583",0.18,0,0.18
Willow Springs,Willow Springs,2015,1,0,1,1,0,1,2,2,0,"5,676",0.18,0.18,0.35
Willowbrook,Willowbrook,2012,,,,3,0,3,3,3,0,"8,575",0,0.35,0.35
Willowbrook,Willowbrook,2013,2,0,2,4,0,4,6,6,0,"8,599",0.23,0.47,0.7
Willowbrook,Willowbrook,2014,2,0,2,,,,2,2,0,"8,607",0.23,0,0.23
Wilmette,Wilmette,2012,15,0,12,7,0,7,22,19,0,"27,202",0.55,0.26,0.81
Wilmette,Wilmette,2013,19,0,19,6,0,5,25,24,0,"27,268",0.7,0.22,0.92
Wilmette,Wilmette,2014,10,0,10,7,1,6,17,16,1,"27,345",0.37,0.26,0.62
Wilmette,Wilmette,2015,13,0,13,7,0,6,20,19,0,"27,420",0.47,0.26,0.73
Wilmington,Wilmington,2012,1,0,0,1,0,1,2,1,0,"5,918",0.17,0.17,0.34
Wilmington,Wilmington,2013,2,0,1,1,0,1,3,2,0,"6,028",0.33,0.17,0.5
Winfield,Winfield,2012,1,0,1,,,,1,1,0,"9,168",0.11,0,0.11
Winfield,Winfield,2013,3,0,3,,,,3,3,0,"9,280",0.32,0,0.32
