town,Year,cycle_total,cycle_fatal,cycle_inj,ped_total,ped_fatal,ped_inj,total_crashes,total_inj,total_fatal
Homewood ,2012,4,0,4,4,0,4,8,8,0
Huntley ,2012,2,0,1,2,0,2,4,3,0
Indian Head Park ,2012,1,0,1,,,,1,1,0
Inverness ,2012,2,0,2,,,,2,2,0
Island Lake ,2012,1,0,1,1,0,1,2,2,0
Itasca ,2012,3,0,3,2,0,2,5,5,0
Johnsburg ,2012,1,0,1,,,,1,1,0
Joliet ,2012,29,0,27,45,1,43,74,70,1
Justice ,2012,1,0,1,5,0,4,6,5,0
Kenilworth ,2012,2,0,2,,,,2,2,0
Kildeer ,2012,1,0,1,,,,1,1,0
LaGrange ,2012,10,0,10,5,0,5,15,15,0
LaGrange Park ,2012,2,0,2,2,0,2,4,4,0
Lake Bluff ,2012,1,0,1,1,0,1,2,2,0
Lake Forest ,2012,5,0,3,3,0,3,8,6,0
Lake In The Hills ,2012,1,0,1,2,0,2,3,3,0
Lake Villa ,2012,,,,2,0,2,2,2,0
Lake Zurich ,2012,,,,1,0,1,1,1,0
Lansing ,2012,3,0,3,7,0,7,10,10,0
Lemont ,2012,,,,2,0,2,2,2,0
Libertyville ,2012,4,0,4,6,0,6,10,10,0
Lincolnshire ,2012,3,0,3,2,0,2,5,5,0
Lincolnwood ,2012,8,0,7,8,1,7,16,14,1
Lindenhurst ,2012,1,0,1,,,,1,1,0
Lisle ,2012,4,0,4,5,0,5,9,9,0
Lockport ,2012,1,0,1,4,0,4,5,5,0
Lombard ,2012,11,0,10,2,0,2,13,12,0
Long Grove ,2012,3,0,3,1,0,1,4,4,0
Lynnwood ,2012,1,0,1,3,0,3,4,4,0
Lyons ,2012,2,0,2,5,0,5,7,7,0
Marengo ,2012,3,0,3,1,0,1,4,4,0
Markham ,2012,6,0,6,3,1,2,9,8,1
Matteson ,2012,3,0,3,3,0,3,6,6,0
Maywood ,2012,8,0,8,11,0,11,19,19,0
McHenry ,2012,7,0,7,1,0,1,8,8,0
Melrose Park ,2012,8,0,8,8,0,8,16,16,0
Merrionette Park ,2012,1,0,1,2,1,1,3,2,1
Midlothian ,2012,5,0,5,6,1,5,11,10,1
Mokena ,2012,6,0,6,1,0,1,7,7,0
Montgomery ,2012,5,0,5,2,0,2,7,7,0
Morton Grove ,2012,12,0,11,3,0,3,15,14,0
Mt Prospect ,2012,9,0,9,7,1,6,16,15,1
Mundelein ,2012,8,0,6,2,0,2,10,8,0
Naperville ,2012,36,0,35,16,0,15,52,50,0
New Lenox ,2012,2,0,1,2,0,2,4,3,0
Niles ,2012,12,0,12,15,0,15,27,27,0
No Aurora ,2012,2,0,2,1,0,1,3,3,0
Norridge ,2012,8,0,8,10,0,10,18,18,0
North Chicago ,2012,7,0,7,8,0,7,15,14,0
North Lake ,2012,3,0,3,2,0,2,5,5,0
North Riverside ,2012,3,0,3,8,0,8,11,11,0
Northbrook ,2012,20,0,20,7,0,7,27,27,0
Northfield ,2012,2,0,2,,,,2,2,0
Oak Brook ,2012,8,0,7,1,0,1,9,8,0
Oak Forest ,2012,1,0,1,3,0,3,4,4,0
Oak Lawn ,2012,8,0,6,15,1,14,23,20,1
Oak Park ,2012,31,0,29,40,0,39,71,68,0
Oakbrook Terrace ,2012,1,0,1,1,0,1,2,2,0
Orland Park ,2012,5,0,5,7,0,7,12,12,0
Palatine ,2012,14,0,11,13,1,10,27,21,1
Palos Hills ,2012,2,0,2,2,0,2,4,4,0
Palos Hts ,2012,1,0,1,2,0,2,3,3,0
Park City ,2012,,,,2,0,2,2,2,0
Park Forest ,2012,,,,2,0,2,2,2,0
Park Ridge ,2012,13,0,12,10,1,9,23,21,1
Peotone ,2012,,,,2,0,2,2,2,0
Plainfield ,2012,1,0,1,3,0,3,4,4,0
Posen ,2012,1,0,1,1,0,1,2,2,0
Prairie Grove ,2012,1,0,0,,,,1,0,0
Prospect Hts ,2012,,,,1,1,0,1,0,1
Richmond ,2012,1,0,1,,,,1,1,0
Richton Park ,2012,,,,1,0,1,1,1,0
River Forest ,2012,5,0,5,3,0,3,8,8,0
River Grove ,2012,7,0,3,9,0,9,16,12,0
Riverdale ,2012,2,0,2,5,1,4,7,6,1
Riverside ,2012,4,0,4,2,0,1,6,5,0
Riverwoods ,2012,,,,1,0,1,1,1,0
Robbins ,2012,2,0,2,,,,2,2,0
Rockdale ,2012,1,1,0,,,,1,0,1
Rolling Meadows ,2012,8,0,6,1,0,1,9,7,0
Romeoville ,2012,1,0,1,9,1,7,10,8,1
Roselle ,2012,3,0,3,1,0,1,4,4,0
Rosemont ,2012,2,0,2,7,0,7,9,9,0
Round Lake ,2012,1,0,1,4,0,4,5,5,0
Round Lake Bch ,2012,5,1,4,3,0,3,8,7,1
Round Lake Hts ,2012,1,0,1,2,0,2,3,3,0
Round Lake Park ,2012,2,0,2,,,,2,2,0
Sauk Village ,2012,,,,3,1,2,3,2,1
Schaumburg ,2012,17,0,16,10,2,8,27,24,2
Schiller Park ,2012,3,0,3,3,0,3,6,6,0
Shorewood ,2012,3,0,3,1,0,1,4,4,0
Skokie ,2012,26,2,23,22,1,21,48,44,3
So Elgin ,2012,1,0,1,4,0,4,5,5,0
South Barrington ,2012,,,,1,1,0,1,0,1
South Chicago Hts ,2012,,,,2,0,2,2,2,0
South Holland ,2012,,,,4,1,3,4,3,1
St Charles ,2012,5,0,4,6,0,6,11,10,0
Steger ,2012,3,0,3,3,0,3,6,6,0
Stickney ,2012,5,0,4,8,0,6,13,10,0
Stone Park ,2012,3,0,3,2,0,2,5,5,0
Streamwood ,2012,6,0,6,1,0,1,7,7,0
Summit ,2012,4,0,4,5,0,5,9,9,0
Thornton ,2012,,,,1,0,1,1,1,0
Tinley Park ,2012,8,0,8,5,0,5,13,13,0
University Park ,2012,1,0,1,,,,1,1,0
Vernon Hills ,2012,1,0,1,4,0,4,5,5,0
Villa Park ,2012,8,0,7,2,0,2,10,9,0
Warrenville ,2012,6,0,6,1,0,1,7,7,0
Wauconda ,2012,1,0,1,4,1,3,5,4,1
Waukegan ,2012,20,0,20,23,0,23,43,43,0
West Chicago ,2012,3,0,3,4,1,3,7,6,1
West Dundee ,2012,,,,1,0,1,1,1,0
Westchester ,2012,5,0,5,1,0,1,6,6,0
Western Springs ,2012,6,0,6,1,0,1,7,7,0
Westmont ,2012,4,0,4,6,0,5,10,9,0
Wheaton ,2012,13,0,12,11,0,11,24,23,0
Wheeling ,2012,14,0,14,6,0,5,20,19,0
Willow Springs ,2012,1,0,1,,,,1,1,0
Willowbrook ,2012,,,,3,0,3,3,3,0
Wilmette ,2012,15,0,12,7,0,7,22,19,0
Wilmington ,2012,1,0,0,1,0,1,2,1,0
Winfield ,2012,1,0,1,,,,1,1,0
Winnetka ,2012,7,0,7,2,0,2,9,9,0
Winthrop Harbor ,2012,1,0,1,1,0,1,2,2,0
Wood Dale ,2012,7,0,7,3,1,2,10,9,1
Woodridge ,2012,7,0,7,4,0,4,11,11,0
Woodstock ,2012,5,0,5,4,0,4,9,9,0
Worth ,2012,4,0,4,7,0,7,11,11,0
Zion ,2012,8,0,8,9,1,8,17,16,1
