town,year,total2013
Camp Point,2013,1387
Campton Hills,2013,10857
Campus,2013,120
Candlewick Lake,2013,4402
Canton,2013,14646
Cantrall,2013,129
Capron,2013,1541
Carbon Cliff,2013,2043
Carbondale,2013,26223
Carbon Hill,2013,461
Carlinville,2013,5586
Carlock,2013,749
Carlyle,2013,3302
Carmi,2013,5309
Carol Stream,2013,39970
Carpentersville,2013,37953
Carrier Mills,2013,1714
Carrollton,2013,2601
Carterville,2013,5553
Carthage,2013,2547
Cary,2013,18165
Casey,2013,2703
Caseyville,2013,4094
Catlin,2013,2098
Cave-In-Rock,2013,339
Cedar Point,2013,271
Cedarville,2013,628
Central City,2013,1101
Centralia,2013,12937
Centreville,2013,5268
Cerro Gordo,2013,1274
Chadwick,2013,461
Champaign,2013,81925
Chandlerville,2013,686
Channahon,2013,12317
Channel Lake,2013,1563
Chapin,2013,541
Charleston,2013,22048
Chatham,2013,12185
Chatsworth,2013,1128
Chebanse,2013,1087
Chemung,2013,263
Chenoa,2013,1811
Cherry,2013,401
Cherry Valley,2013,2966
Chester,2013,8521
Chesterfield,2013,210
Chestnut,2013,183
Chicago,2013,2706101
Chicago Heights,2013,30340
Chicago Ridge,2013,14363
Chillicothe,2013,6202
Chrisman,2013,1357
Christopher,2013,2770
Cicero,2013,83930
Cisco,2013,227
Cisne,2013,771
Cissna Park,2013,854
Claremont,2013,190
Clarendon Hills,2013,8498
Clay City,2013,960
Clayton,2013,669
Clear Lake,2013,287
Cleveland,2013,199
Clifton,2013,1464
Clinton,2013,6993
Coal City,2013,5311
Coalton,2013,266
Coal Valley,2013,3696
Coatsburg,2013,133
Cobden,2013,1344
Coffeen,2013,446
Colchester,2013,1420
Coleta,2013,195
Colfax,2013,1017
Collinsville,2013,25434
Colona,2013,5003
Colp,2013,276
Columbia,2013,9786
Columbus,2013,102
Como,2013,423
Compton,2013,335
Concord,2013,141
Congerville,2013,531
Cooksville,2013,170
Cordova,2013,679
Cornell,2013,433
Cornland,2013,38
Cortland,2013,4390
Coulterville,2013,923
Country Club Hills,2013,16659
Countryside,2013,5929
Cowden,2013,546
Coyne Center,2013,840
Crab Orchard,2013,305
Crainville,2013,1235
Creal Springs,2013,580
Crescent City,2013,660
Crest Hill,2013,20872
Creston,2013,741
Crestwood,2013,11002
Crete,2013,8283
Creve Coeur,2013,5498
Crossville,2013,747
Crystal Lake,2013,40609
Crystal Lawns,2013,1905
Cuba,2013,1447
Cullom,2013,534
Curran,2013,175
Cutler,2013,471
Cypress,2013,352
Dahlgren,2013,401
Dakota,2013,694
Dallas City,2013,1162
Dalton City,2013,522
Dalzell,2013,731
Damiansville,2013,482
Dana,2013,171
Danforth,2013,601
Danvers,2013,1190
Danville,2013,32715
Darien,2013,22206
Darmstadt,2013,0
Davis,2013,860
Davis Junction,2013,2640
Dawson,2013,513
Dayton,2013,523
Decatur,2013,75982
Deer Creek,2013,786
Deerfield,2013,18408
Deer Grove,2013,43
Deer Park,2013,3222
DeKalb,2013,44281
De Land,2013,490
Delavan,2013,1610
De Pue,2013,1925
De Soto,2013,1435
Des Plaines,2013,58569
Detroit,2013,116
De Witt,2013,179
Diamond,2013,2729
Dieterich,2013,642
Divernon,2013,1444
Dix,2013,476
Dixmoor,2013,3633
Dixon,2013,14964
Dolton,2013,23228
Dongola,2013,827
Donnellson,2013,197
Donovan,2013,367
Dorchester,2013,139
Dover,2013,131
Dowell,2013,335
Downers Grove,2013,48964
Downs,2013,981
Du Bois,2013,195
Dunfermline,2013,202
Dunlap,2013,1599
Dupo,2013,4073
Du Quoin,2013,6063
Durand,2013,1261
Dwight,2013,4148
Eagarville,2013,132
Earlville,2013,1832
East Alton,2013,6254
East Brooklyn,2013,134
East Cape Girardeau,2013,630
East Carondelet,2013,573
East Dubuque,2013,1769
East Dundee,2013,2946
East Galesburg,2013,830
East Gillespie,2013,231
East Hazel Crest,2013,1664
East Moline,2013,21465
Easton,2013,345
East Peoria,2013,23252
East St. Louis,2013,26830
Eddyville,2013,105
Edgewood,2013,400
Edinburg,2013,1062
Edwardsville,2013,24320
Effingham,2013,12264
Elburn,2013,5666
El Dara,2013,121
Eldorado,2013,4114
Eldred,2013,204
Elgin,2013,109825
Elizabeth,2013,821
Elizabethtown,2013,329
Elk Grove Village,2013,33247
Elkhart,2013,351
Elkville,2013,1035
Elliott,2013,235
Ellis Grove,2013,468
Ellisville,2013,122
Ellsworth,2013,220
Elmhurst,2013,44745
Elmwood,2013,2305
Elmwood Park,2013,24918
El Paso,2013,2450
Elsah,2013,693
Elvaston,2013,134
Elwood,2013,2192
Emden,2013,313
Emington,2013,101
Energy,2013,917
Enfield,2013,636
Equality,2013,706
Erie,2013,1631
Essex,2013,948
Eureka,2013,5462
Evanston,2013,74937
Evansville,2013,704
Evergreen Park,2013,19903
Ewing,2013,287
Exeter,2013,104
Fairbury,2013,3772
Fairfield,2013,5372
Fairmont,2013,2435
Fairmont City,2013,2551
Fairmount,2013,549
Fairview,2013,552
Fairview Heights,2013,17105
Farina,2013,521
Farmer City,2013,1968
Farmersville,2013,578
Farmington,2013,2235
Fayetteville,2013,450
Ferris,2013,197
Fidelity,2013,140
Fieldon,2013,214
Fillmore,2013,329
Findlay,2013,880
Fisher,2013,1920
Fithian,2013,483
Flanagan,2013,1059
Flat Rock,2013,375
Flora,2013,5077
Floraville,2013,0
Florence,2013,25
Flossmoor,2013,9317
Foosland,2013,103
Ford Heights,2013,2781
Forest City,2013,257
Forest Lake,2013,1731
Forest Park,2013,14202
Forest View,2013,766
Forrest,2013,1155
Forreston,2013,1637
Forsyth,2013,3781
Fox Lake,2013,10751
Fox Lake Hills,2013,2359
Fox River Grove,2013,4657
Frankfort,2013,17958
Frankfort Square,2013,9099
Franklin,2013,565
Franklin Grove,2013,1265
Franklin Park,2013,18383
Freeburg,2013,4398
Freeman Spur,2013,264
Freeport,2013,25389
Fulton,2013,3651
Fults,2013,28
Gages Lake,2013,10093
Galatia,2013,941
Galena,2013,3454
Galesburg,2013,31946
Galva,2013,2581
Garden Prairie,2013,227
Gardner,2013,1327
Garrett,2013,115
Gays,2013,341
Geneseo,2013,6717
Geneva,2013,21607
Genoa,2013,5734
Georgetown,2013,448
Georgetown,2013,3449
Germantown,2013,1177
Germantown Hills,2013,3423
German Valley,2013,511
Gibson City,2013,3535
Gifford,2013,927
Gilberts,2013,7063
Gillespie,2013,3275
Gilman,2013,1829
Gilson,2013,170
Girard,2013,1968
Gladstone,2013,246
Glasford,2013,1014
Glasgow,2013,144
Glen Carbon,2013,13067
Glencoe,2013,8766
Glendale Heights,2013,34351
Glen Ellyn,2013,27493
Glenview,2013,44863
Glenwood,2013,8904
Godfrey,2013,17951
Godley,2013,787
Golconda,2013,843
Golden,2013,679
Golden Gate,2013,60
Golf,2013,458
Goodfield,2013,1028
Good Hope,2013,374
Goofy Ridge,2013,272
Goreville,2013,1338
Gorham,2013,211
Grafton,2013,725
Grand Detour,2013,389
Grand Ridge,2013,557
Grand Tower,2013,460
Grandview,2013,1428
Grandwood Park,2013,5471
Granite City,2013,29706
Grantfork,2013,422
Grant Park,2013,1448
Granville,2013,1545
Grayslake,2013,20951
Grayville,2013,1622
Greenfield,2013,1392
Green Oaks,2013,3863
Greenup,2013,1794
Green Valley,2013,799
Greenview,2013,816
Greenville,2013,6881
Greenwood,2013,326
Gridley,2013,1337
Griggsville,2013,1094
Gulf Port,2013,20
Gurnee,2013,31247
Hainesville,2013,3577
Hamburg,2013,143
Hamel,2013,822
Hamilton,2013,2748
Hammond,2013,410
Hampshire,2013,6108
Hampton,2013,2213
Hanaford,2013,281
Hanna City,2013,1385
Hanover,2013,859
Hanover Park,2013,38159
Hardin,2013,1270
Harmon,2013,160
Harrisburg,2013,9025
Harrison,2013,1122
Harristown,2013,1491
Hartford,2013,1516
Hartsburg,2013,201
Harvard,2013,9023
Harvel,2013,164
Harvey,2013,24771
Harwood Heights,2013,8624
Havana,2013,3257
Hawthorn Woods,2013,7937
Hazel Crest,2013,14350
Hebron,2013,1129
Hecker,2013,466
Henderson,2013,286
Hennepin,2013,892
Henning,2013,331
Henry,2013,2417
Heritage Lake,2013,1161
Herrick,2013,415
Herrin,2013,12629
Herscher,2013,1515
Hettick,2013,250
Heyworth,2013,2893
Hickory Hills,2013,14367
Hidalgo,2013,132
Highland,2013,9754
Highland Park,2013,29864
Highwood,2013,5366
Hillcrest,2013,1127
Hillsboro,2013,7950
Hillsdale,2013,455
Hillside,2013,8172
Hillview,2013,149
Hinckley,2013,2045
Hindsboro,2013,281
Hinsdale,2013,16637
Hodgkins,2013,2152
Hoffman,2013,557
Hoffman Estates,2013,52265
Holiday Hills,2013,711
Holiday Shores,2013,2959
Hollowayville,2013,41
Homer,2013,1095
Homer Glen,2013,24309
Hometown,2013,4356
Homewood,2013,20012
Hoopeston,2013,5516
Hooppole,2013,371
Hopedale,2013,1010
Hopewell,2013,437
Hopkins Park,2013,482
Hoyleton,2013,536
Hudson,2013,1939
Huey,2013,226
Hull,2013,413
Humboldt,2013,384
Hume,2013,414
Huntley,2013,24799
Hurst,2013,798
Hutsonville,2013,587
Illiopolis,2013,894
Ina,2013,2275
Indian Creek,2013,690
Indian Head Park,2013,3817
Indianola,2013,314
Industry,2013,534
Ingalls Park,2013,3270
Inverness,2013,7245
Iola,2013,95
Ipava,2013,558
Iroquois,2013,150
Irving,2013,326
Irvington,2013,575
Irwin,2013,99
Island Lake,2013,8076
Itasca,2013,8442
Iuka,2013,525
Ivesdale,2013,267
Jacksonville,2013,19375
Jeffersonville,2013,397
Jeisyville,2013,127
Jerome,2013,1624
Jerseyville,2013,8553
Jewett,2013,323
Johnsburg,2013,6340
Johnsonville,2013,77
Johnston City,2013,3550
Joliet,2013,147459
Jonesboro,2013,1942
Joppa,2013,299
Joy,2013,449
Junction,2013,127
Junction City,2013,511
Justice,2013,12951
Kampsville,2013,356
Kane,2013,356
Kaneville,2013,545
Kangley,2013,444
Kankakee,2013,27412
Kansas,2013,793
Kappa,2013,405
Karnak,2013,592
Kaskaskia,2013,10
Keenes,2013,63
Keensburg,2013,182
Keithsburg,2013,529
Kell,2013,218
Kempton,2013,155
Kenilworth,2013,2786
Kenney,2013,345
Kewanee,2013,12798
Keyesport,2013,499
Kilbourne,2013,275
Kildeer,2013,3935
Kincaid,2013,1615
Kinderhook,2013,239
Kingston,2013,1009
Kingston Mines,2013,232
Kinmundy,2013,933
Kinsman,2013,89
Kirkland,2013,1647
Kirkwood,2013,747
Knollwood,2013,1571
Knoxville,2013,2920
Lacon,2013,1820
Ladd,2013,1356
La Fayette,2013,288
La Grange,2013,15618
La Grange Park,2013,13602
La Harpe,2013,1330
Lake Barrington,2013,4863
Lake Bluff,2013,5932
Lake Camelot,2013,1840
Lake Catherine,2013,1473
Lake Forest,2013,19044
Lake Holiday,2013,4714
Lake in the Hills,2013,28932
Lake Ka-Ho,2013,243
Lakemoor,2013,6536
Lake of the Woods,2013,2996
Lake Petersburg,2013,672
Lake Summerset,2013,1728
Lake Villa,2013,8873
Lakewood,2013,4298
Lakewood Shores,2013,1214
Lake Zurich,2013,19771
La Moille,2013,876
Lanark,2013,1635
Langleyville,2013,456
Lansing,2013,28378
LaPlace,2013,173
La Prairie,2013,70
La Rose,2013,128
LaSalle,2013,9551
Latham,2013,292
Lawrenceville,2013,4690
Leaf River,2013,542
Lebanon,2013,3823
Lee,2013,340
Leland,2013,898
Leland Grove,2013,1609
Lemont,2013,16171
Lena,2013,2910
Lenzburg,2013,458
Leonore,2013,83
Lerna,2013,349
Le Roy,2013,3638
Lewistown,2013,2360
Lexington,2013,2159
Liberty,2013,602
Libertyville,2013,20360
Lily Lake,2013,1070
Lima,2013,204
Limestone,2013,1443
Lincoln,2013,14323
Lincolnshire,2013,7254
Lincolnwood,2013,12611
Lindenhurst,2013,14450
Lisbon,2013,334
Lisle,2013,22557
Litchfield,2013,6979
Littleton,2013,270
Little York,2013,283
Liverpool,2013,110
Livingston,2013,755
Loami,2013,701
Lockport,2013,24862
Loda,2013,447
Lomax,2013,346
Lombard,2013,43492
London Mills,2013,493
Long Creek,2013,1338
Long Grove,2013,8015
Long Lake,2013,3169
Long Point,2013,201
Longview,2013,177
Loraine,2013,261
Lostant,2013,366
Lost Nation,2013,656
Louisville,2013,1120
Loves Park,2013,24172
Lovington,2013,1184
Ludlow,2013,444
Lyndon,2013,641
Lynnville,2013,71
Lynwood,2013,9149
Lyons,2013,10653
McClure,2013,362
McCook,2013,293
McCullom Lake,2013,1072
Macedonia,2013,43
McHenry,2013,26863
Machesney Park,2013,23204
Mackinaw,2013,2420
McLean,2013,796
McLeansboro,2013,2624
McNabb,2013,302
Macomb,2013,19267
Macon,2013,1261
Madison,2013,4125
Maeystown,2013,169
Magnolia,2013,280
Mahomet,2013,7412
Makanda,2013,564
Malden,2013,486
Malta,2013,1014
Manchester,2013,454
Manhattan,2013,6653
Manito,2013,2013
Manlius,2013,331
Mansfield,2013,1063
Manteno,2013,9438
Maple Park,2013,1342
Mapleton,2013,331
Maquon,2013,382
Marengo,2013,7475
Marietta,2013,188
Marine,2013,1136
Marion,2013,17282
Marissa,2013,2187
Mark,2013,603
Markham,2013,12575
Maroa,2013,1866
Marquette Heights,2013,2968
Marseilles,2013,4855
Marshall,2013,3969
Martinsville,2013,1153
Martinton,2013,293
Maryville,2013,7617
Mascoutah,2013,7558
Mason,2013,403
Mason City,2013,2282
Matherville,2013,890
Matteson,2013,18965
Mattoon,2013,18116
Maunie,2013,148
Maywood,2013,24143
Mazon,2013,1015
Mechanicsburg,2013,616
Media,2013,143
Medora,2013,410
Melrose Park,2013,25393
Melvin,2013,542
Mendon,2013,833
Mendota,2013,7314
Menominee,2013,236
Meredosia,2013,1047
Merrionette Park,2013,1766
Metamora,2013,3564
Metcalf,2013,232
Metropolis,2013,6520
Mettawa,2013,425
Middletown,2013,268
Midlothian,2013,14852
Milan,2013,5140
Milford,2013,1252
Millbrook,2013,301
Mill Creek,2013,70
Milledgeville,2013,1064
Millington,2013,692
Mill Shoals,2013,180
Millstadt,2013,3947
Milton,2013,400
Mineral,2013,291
Minier,2013,1237
Minonk,2013,1987
Minooka,2013,10931
Mitchell,2013,1502
Modesto,2013,207
Mokena,2013,18772
Moline,2013,43279
Momence,2013,3093
Monee,2013,5114
Monmouth,2013,9514
Monroe Center,2013,467
Montgomery,2013,18505
Monticello,2013,5314
Montrose,2013,214
Morris,2013,14019
Morrison,2013,4269
Morrisonville,2013,927
Morton,2013,16261
Morton Grove,2013,23341
Mound City,2013,715
Mounds,2013,1276
Mound Station,2013,120
Mount Auburn,2013,486
Mount Carmel,2013,7228
Mount Carroll,2013,1820
Mount Clare,2013,273
Mount Erie,2013,108
Mount Morris,2013,3213
Mount Olive,2013,2148
Mount Prospect,2013,54436
Mount Pulaski,2013,1247
Mount Sterling,2013,2245
Mount Vernon,2013,15060
Mount Zion,2013,5842
Moweaqua,2013,1797
Muddy,2013,27
Mulberry Grove,2013,847
Mulkeytown,2013,102
Muncie,2013,108
Mundelein,2013,31343
Murphysboro,2013,8102
Murrayville,2013,554
Naperville,2013,143223
Naplate,2013,488
Naples,2013,61
Nashville,2013,3320
Nason,2013,204
Nauvoo,2013,1093
Nebo,2013,400
Nelson,2013,232
Neoga,2013,1714
Neponset,2013,452
Newark,2013,967
New Athens,2013,2150
New Baden,2013,3389
New Bedford,2013,72
New Berlin,2013,1356
New Boston,2013,841
New Burnside,2013,213
New Canton,2013,357
New Douglas,2013,321
New Grand Chain,2013,178
New Haven,2013,416
New Holland,2013,192
New Lenox,2013,24536
Newman,2013,915
New Milford,2013,752
New Minden,2013,199
New Salem,2013,124
Newton,2013,2929
Niantic,2013,712
Niles,2013,29923
Nilwood,2013,217
Noble,2013,596
Nokomis,2013,2370
Nora,2013,92
Normal,2013,53713
Norridge,2013,14726
Norris,2013,231
Norris City,2013,1336
North Aurora,2013,16649
North Barrington,2013,3260
Northbrook,2013,33283
North Chicago,2013,31122
North City,2013,712
Northfield,2013,5161
North Henderson,2013,189
Northlake,2013,12338
North Pekin,2013,1650
North Riverside,2013,7004
North Utica,2013,1245
Norwood,2013,434
Oak Brook,2013,7956
Oakbrook Terrace,2013,2010
Oakdale,2013,226
Oakford,2013,265
Oak Forest,2013,28053
Oak Grove,2013,706
Oakland,2013,679
Oak Lawn,2013,56765
Oak Park,2013,51902
Oak Run,2013,407
Oakwood,2013,1621
Oakwood Hills,2013,2223
Oblong,2013,1564
Oconee,2013,170
Odell,2013,1023
Odin,2013,1123
O'Fallon,2013,28844
Ogden,2013,774
Oglesby,2013,3632
Ohio,2013,440
Ohlman,2013,76
Okawville,2013,1331
Old Mill Creek,2013,174
Old Ripley,2013,95
Old Shawneetown,2013,210
Olive Branch,2013,778
Olivet,2013,387
Olmsted,2013,434
Olney,2013,9134
Olympia Fields,2013,4812
Omaha,2013,209
Onarga,2013,1428
Oneida,2013,786
Opdyke,2013,354
Oquawka,2013,1344
Orangeville,2013,927
Oreana,2013,1001
Oregon,2013,3757
Orient,2013,298
Orion,2013,1922
Orland Hills,2013,7213
Orland Park,2013,57194
Oswego,2013,31036
Ottawa,2013,19116
Otterville,2013,110
Owaneco,2013,174
Paderborn,2013,47
Palatine,2013,68738
Palestine,2013,1519
Palmer,2013,209
Palmyra,2013,579
Palos Heights,2013,12540
Palos Hills,2013,17544
Palos Park,2013,4820
Pana,2013,5647
Panama,2013,230
Panola,2013,54
Papineau,2013,249
Paris,2013,8768
Park City,2013,7391
Parkersburg,2013,228
Park Forest,2013,22480
Park Ridge,2013,37421
Patoka,2013,617
Pawnee,2013,2714
Paw Paw,2013,935
Paxton,2013,4354
Payson,2013,1176
Pearl,2013,217
Pearl City,2013,893
Pecatonica,2013,2311
Pekin,2013,33858
Penfield,2013,149
Peoria,2013,115466
Peoria Heights,2013,6095
Peotone,2013,4348
Percy,2013,853
Perry,2013,343
Peru,2013,10188
Pesotum,2013,474
Petersburg,2013,2178
Phillipstown,2013,49
Philo,2013,1669
Phoenix,2013,2050
Pierron,2013,472
Pinckneyville,2013,5622
Pingree Grove,2013,4725
Piper City,2013,816
Pistakee Highlands,2013,3463
Pittsburg,2013,621
Pittsfield,2013,4784
Plainfield,2013,39952
Plainville,2013,325
Plano,2013,10995
Plattville,2013,240
Pleasant Hill,2013,1314
Pleasant Plains,2013,936
Plymouth,2013,482
Pocahontas,2013,705
Polo,2013,2259
Pontiac,2013,12115
Pontoon Beach,2013,5771
Pontoosuc,2013,94
Poplar Grove,2013,5829
Port Barrington,2013,1591
Port Byron,2013,1768
Posen,2013,6017
Potomac,2013,752
Prairie City,2013,499
Prairie du Rocher,2013,647
Prairie Grove,2013,1717
Prestbury,2013,1564
Preston Heights,2013,2921
Princeton,2013,7885
Princeville,2013,2080
Prophetstown,2013,2186
Prospect Heights,2013,16264
Pulaski,2013,199
Quincy,2013,40769
Radom,2013,172
Raleigh,2013,304
Ramsey,2013,1220
Rankin,2013,478
Ransom,2013,391
Rantoul,2013,12958
Rapids City,2013,941
Raritan,2013,115
Raymond,2013,805
Red Bud,2013,3667
Reddick,2013,331
Redmon,2013,195
Rentchler,2013,0
Reynolds,2013,620
Richmond,2013,2042
Richton Park,2013,13655
Richview,2013,206
Ridge Farm,2013,954
Ridgway,2013,789
Ridott,2013,128
Ringwood,2013,864
Rio,2013,240
Ripley,2013,107
Riverdale,2013,13455
River Forest,2013,11183
River Grove,2013,10249
Riverside,2013,8913
Riverton,2013,3459
Riverwoods,2013,3902
Roanoke,2013,2018
Robbins,2013,5151
Roberts,2013,355
Robinson,2013,7481
Rochelle,2013,9539
Rochester,2013,3763
Rockbridge,2013,202
Rock City,2013,347
Rockdale,2013,1957
Rock Falls,2013,9237
Rockford,2013,152138
Rock Island,2013,38968
Rock Island Arsenal,2013,133
Rockton,2013,7425
Rockwood,2013,78
Rolling Meadows,2013,23655
Rome,2013,1621
Romeoville,2013,39520
Roodhouse,2013,1791
Roscoe,2013,10882
Rose Hill,2013,63
Roselle,2013,22863
Rosemont,2013,3906
Roseville,2013,1150
Rosewood Heights,2013,4046
Rosiclare,2013,1009
Rossville,2013,1452
Round Lake,2013,18216
Round Lake Beach,2013,28114
Round Lake Heights,2013,2791
Round Lake Park,2013,7376
Roxana,2013,1580
Royal,2013,257
Royal Lakes,2013,195
Royalton,2013,1079
Ruma,2013,300
Rushville,2013,3241
Russellville,2013,68
Rutland,2013,268
Sadorus,2013,514
Sailor Springs,2013,86
St. Anne,2013,1503
St. Augustine,2013,115
St. Charles,2013,33227
St. David,2013,504
St. Elmo,2013,1541
Ste. Marie,2013,225
St. Francisville,2013,575
St. Jacob,2013,1367
St. Johns,2013,187
St. Joseph,2013,4147
St. Libory,2013,530
St. Peter,2013,312
Salem,2013,7253
Sammons Point,2013,374
Sandoval,2013,1192
Sandwich,2013,7509
San Jose,2013,574
Sauget,2013,232
Sauk Village,2013,10519
Saunemin,2013,333
Savanna,2013,2987
Savoy,2013,7290
Sawyerville,2013,229
Saybrook,2013,787
Scales Mound,2013,413
Schaumburg,2013,74292
Schiller Park,2013,11790
Schram City,2013,463
Sciota,2013,86
Scott AFB,2013,3546
Scottville,2013,118
Seaton,2013,269
Seatonville,2013,290
Secor,2013,394
Seneca,2013,2479
Sesser,2013,1974
Seymour,2013,296
Shabbona,2013,870
Shannon,2013,717
Shawneetown,2013,1182
Sheffield,2013,935
Shelbyville,2013,5257
Sheldon,2013,1197
Sheridan,2013,1971
Sherman,2013,3918
Sherrard,2013,890
Shiloh,2013,12735
Shipman,2013,800
Shorewood,2013,15906
Shumway,2013,161
Sibley,2013,311
Sidell,2013,764
Sidney,2013,1342
Sigel,2013,316
Silvis,2013,7516
Simpson,2013,103
Sims,2013,380
Skokie,2013,64885
Sleepy Hollow,2013,3333
Smithboro,2013,155
Smithfield,2013,231
Smithton,2013,3696
Somonauk,2013,2319
Sorento,2013,749
South Barrington,2013,4732
South Beloit,2013,8151
South Chicago Heights,2013,4151
South Elgin,2013,22041
Southern View,2013,1948
South Holland,2013,22082
South Jacksonville,2013,3326
South Pekin,2013,1263
South Roxana,2013,2232
South Wilmington,2013,564
Sparland,2013,515
Sparta,2013,4320
Spaulding,2013,848
Spillertown,2013,247
Spring Bay,2013,676
Springerton,2013,82
Springfield,2013,116495
Spring Grove,2013,5331
Spring Valley,2013,5486
Standard,2013,250
Standard City,2013,271
Stanford,2013,773
Staunton,2013,4896
Steeleville,2013,1927
Steger,2013,9583
Sterling,2013,15314
Steward,2013,303
Stewardson,2013,797
Stickney,2013,6794
Stillman Valley,2013,1006
Stockton,2013,1905
Stonefort,2013,334
Stone Park,2013,4947
Stonington,2013,818
Stoy,2013,148
Strasburg,2013,639
Strawn,2013,116
Streamwood,2013,40434
Streator,2013,13021
Stronghurst,2013,1114
Sublette,2013,394
Sugar Grove,2013,8985
Sullivan,2013,4482
Summerfield,2013,469
Summit,2013,11274
Sumner,2013,5267
Sun River Terrace,2013,406
Swansea,2013,13787
Sycamore,2013,17566
Symerton,2013,87
Table Grove,2013,398
Tallula,2013,538
Tamaroa,2013,751
Tamms,2013,782
Tampico,2013,798
Taylor Springs,2013,560
Taylorville,2013,11552
Tennessee,2013,180
Teutopolis,2013,1771
Thawville,2013,206
Thayer,2013,615
Thebes,2013,574
The Galena Territory,2013,1033
Third Lake,2013,1352
Thomasboro,2013,1061
Thompsonville,2013,681
Thomson,2013,764
Thornton,2013,2803
Tilden,2013,738
Tilton,2013,2701
Timberlane,2013,1121
Time,2013,16
Tinley Park,2013,56810
Tiskilwa,2013,880
Toledo,2013,1181
Tolono,2013,3333
Toluca,2013,1346
Tonica,2013,776
Topeka,2013,41
Toulon,2013,1292
Tovey,2013,488
Towanda,2013,476
Tower Hill,2013,608
Tower Lakes,2013,1308
Tremont,2013,2083
Trenton,2013,2729
Trout Valley,2013,552
Troy,2013,10013
Troy Grove,2013,231
Tuscola,2013,4387
Twin Grove,2013,1520
Ullin,2013,520
Union,2013,562
Union Hill,2013,59
University Park,2013,6987
Urbana,2013,41520
Ursa,2013,583
Valier,2013,645
Valley City,2013,2
Valmeyer,2013,1479
